case,matched,coverage,ate_se3,ate_sim3,scale,rpet,rper,final_keyframes,final_mappoints,estimated_accum_path_m,keyframe_created_count,run_dir,ckf_direct_vetoed_candidates,ckf_accepted_depth_candidates,ckf_boundary_skipped_new_candidates,ckf_boundary_existing_supported_candidates,ckf_boundary_budget,ckf_control_skipped_nonboundary_new_candidates,ckf_matched_boundary_budget,ckf_matched_skipped_nonboundary_new_candidates,ckf_matched_exact_skipped_new_candidates,ckf_matched_fallback_skipped_new_candidates,lm_skipped_instance_pairs,lm_skipped_boundary_pairs,lm_boundary_budget,lm_control_skipped_nonboundary_pairs,lm_matched_boundary_budget,lm_matched_skipped_nonboundary_pairs,lm_matched_exact_skipped_pairs,lm_matched_fallback_skipped_pairs
wrpy_matched_nonboundary_r5,906,0.2958850424559112,0.39007105322880176,0.14552889978014286,0.23324720978854435,0.026268727659170134,0.6067420671694258,412,6803,16.088917,587,/home/lj/dynamic-slam-public/runs/matched_nonboundary_probe_20260514_150436/wrpy_matched_nonboundary_r5/r1,104839,276086,0,0,0,0,7711,7063,3088,3975,4310,0,0,0,244,107,28,79
wrpy_matched_nonboundary_r5_r2,906,0.2958850424559112,0.39007105322880176,0.14552889978014286,0.23324720978854435,0.026268727659170134,0.6067420671694258,412,6803,16.088917,587,/home/lj/dynamic-slam-public/runs/matched_nonboundary_probe_20260514_150436/wrpy_matched_nonboundary_r5/r2,104839,276086,0,0,0,0,7711,7063,3088,3975,4310,0,0,0,244,107,28,79
wrpy_matched_nonboundary_r5_r3,906,0.2958850424559112,0.39007105322880176,0.14552889978014286,0.23324720978854435,0.026268727659170134,0.6067420671694258,412,6803,16.088917,587,/home/lj/dynamic-slam-public/runs/matched_nonboundary_probe_20260514_150436/wrpy_matched_nonboundary_r5/r3,104839,276086,0,0,0,0,7711,7063,3088,3975,4310,0,0,0,244,107,28,79
