case,repeat,dataset_id,method,profile,protocol_valid,camera_sha16,keyframe_timeline_sha16,run_dir,matched_poses,coverage,ate_se3_rmse_m,ate_sim3_rmse_m,sim3_scale,rpet_rmse_m,rper_rmse_deg,estimated_poses,final_keyframes,final_mappoints,estimated_accum_path_m,keyframe_created_count,ckf_direct_vetoed_candidates,ckf_accepted_depth_candidates,ckf_boundary_skipped_new_candidates,ckf_matched_skipped_nonboundary_new_candidates,ckf_matched_exact_skipped_new_candidates,ckf_matched_fallback_skipped_new_candidates,ckf_boundary_existing_supported_candidates,lm_skipped_instance_pairs,lm_skipped_boundary_pairs,lm_matched_skipped_nonboundary_pairs,lm_matched_exact_skipped_pairs,lm_matched_fallback_skipped_pairs
wrpy_matched_nonboundary_r5,r1,external_wrpy_rawrgb_rawdepth_mask,matched_nonboundary_r5,hybrid_sequential_semantic_only,1,29e3e5f8589b2b77,498f95e712cced79,/home/lj/dynamic-slam-public/runs/matched_nonboundary_probe_20260514_150436/wrpy_matched_nonboundary_r5/r1,906,0.2958850424559112,0.39007105322880176,0.14552889978014286,0.23324720978854435,0.026268727659170134,0.6067420671694258,909,412,6803,16.088917,587,104839,276086,0,7063,3088,3975,0,4310,0,107,28,79
wrpy_matched_nonboundary_r5,r2,external_wrpy_rawrgb_rawdepth_mask,matched_nonboundary_r5,hybrid_sequential_semantic_only,1,29e3e5f8589b2b77,498f95e712cced79,/home/lj/dynamic-slam-public/runs/matched_nonboundary_probe_20260514_150436/wrpy_matched_nonboundary_r5/r2,906,0.2958850424559112,0.39007105322880176,0.14552889978014286,0.23324720978854435,0.026268727659170134,0.6067420671694258,909,412,6803,16.088917,587,104839,276086,0,7063,3088,3975,0,4310,0,107,28,79
wrpy_matched_nonboundary_r5,r3,external_wrpy_rawrgb_rawdepth_mask,matched_nonboundary_r5,hybrid_sequential_semantic_only,1,29e3e5f8589b2b77,498f95e712cced79,/home/lj/dynamic-slam-public/runs/matched_nonboundary_probe_20260514_150436/wrpy_matched_nonboundary_r5/r3,906,0.2958850424559112,0.39007105322880176,0.14552889978014286,0.23324720978854435,0.026268727659170134,0.6067420671694258,909,412,6803,16.088917,587,104839,276086,0,7063,3088,3975,0,4310,0,107,28,79
