stage,frame,applied,reason,estimated_step,allowed_step,recent_step_median,step_ratio,support_low,keyframe_pressure,motion_pressure,static_inliers,static_grid_coverage,v19_max_trigger_step_ratio,v19_max_estimated_step_m,v19_min_static_inliers_for_extreme,v19_max_static_grid_coverage_for_extreme
track_local_map_post_pose,89,0,v19_extreme_sparse_support,0.065027,0.018,0.013457,4.83237,1,1,1,37,0.007487,4.000000,0.055000,160,0.025000
track_local_map_post_pose,238,0,v19_extreme_sparse_support,0.057375,0.018,0.015626,3.671665,1,1,1,104,0.019531,4.000000,0.055000,160,0.025000
