frame_id,segment,v11_is_keyframe,v11_kf_id,v11_kf_step,v11_kf_gap,v11_kf_density,v11_traj_est_step,v11_traj_gt_step,v11_traj_step_ratio,v11_lba_count,v11_lba_local_kf_max,v11_lba_fixed_kf_max,v11_lba_local_mp_max,v11_lba_delayed_mp_sum,v11_lba_delayed_mp_max,v11_lba_delayed_ratio_max,v11_lba_optimizer_edges_max,v11_recovery_candidates,v11_recovery_pregeom_allowed,v11_recovery_created,v11_probation_score_recent,v11_probation_score_survived,v11_probation_score_matured,v11_probation_score_pose_use_edges,v11_probation_score_lba_edges,v11_pose_chain_guard_active_lines,v11_pose_chain_guard_candidates,v11_pose_chain_guard_created,v11_pose_chain_need_score_max,v11_pose_chain_keyframe_step_ratio_max,v12_posterior_is_keyframe,v12_posterior_kf_id,v12_posterior_kf_step,v12_posterior_kf_gap,v12_posterior_kf_density,v12_posterior_traj_est_step,v12_posterior_traj_gt_step,v12_posterior_traj_step_ratio,v12_posterior_lba_count,v12_posterior_lba_local_kf_max,v12_posterior_lba_fixed_kf_max,v12_posterior_lba_local_mp_max,v12_posterior_lba_delayed_mp_sum,v12_posterior_lba_delayed_mp_max,v12_posterior_lba_delayed_ratio_max,v12_posterior_lba_optimizer_edges_max,v12_posterior_recovery_candidates,v12_posterior_recovery_pregeom_allowed,v12_posterior_recovery_created,v12_posterior_probation_score_recent,v12_posterior_probation_score_survived,v12_posterior_probation_score_matured,v12_posterior_probation_score_pose_use_edges,v12_posterior_probation_score_lba_edges,v12_posterior_pose_chain_guard_active_lines,v12_posterior_pose_chain_guard_candidates,v12_posterior_pose_chain_guard_created,v12_posterior_pose_chain_need_score_max,v12_posterior_pose_chain_keyframe_step_ratio_max,fixed_2kf_is_keyframe,fixed_2kf_kf_id,fixed_2kf_kf_step,fixed_2kf_kf_gap,fixed_2kf_kf_density,fixed_2kf_traj_est_step,fixed_2kf_traj_gt_step,fixed_2kf_traj_step_ratio,fixed_2kf_lba_count,fixed_2kf_lba_local_kf_max,fixed_2kf_lba_fixed_kf_max,fixed_2kf_lba_local_mp_max,fixed_2kf_lba_delayed_mp_sum,fixed_2kf_lba_delayed_mp_max,fixed_2kf_lba_delayed_ratio_max,fixed_2kf_lba_optimizer_edges_max,fixed_2kf_recovery_candidates,fixed_2kf_recovery_pregeom_allowed,fixed_2kf_recovery_created,fixed_2kf_probation_score_recent,fixed_2kf_probation_score_survived,fixed_2kf_probation_score_matured,fixed_2kf_probation_score_pose_use_edges,fixed_2kf_probation_score_lba_edges,fixed_2kf_pose_chain_guard_active_lines,fixed_2kf_pose_chain_guard_candidates,fixed_2kf_pose_chain_guard_created,fixed_2kf_pose_chain_need_score_max,fixed_2kf_pose_chain_keyframe_step_ratio_max,fixed_4kf_is_keyframe,fixed_4kf_kf_id,fixed_4kf_kf_step,fixed_4kf_kf_gap,fixed_4kf_kf_density,fixed_4kf_traj_est_step,fixed_4kf_traj_gt_step,fixed_4kf_traj_step_ratio,fixed_4kf_lba_count,fixed_4kf_lba_local_kf_max,fixed_4kf_lba_fixed_kf_max,fixed_4kf_lba_local_mp_max,fixed_4kf_lba_delayed_mp_sum,fixed_4kf_lba_delayed_mp_max,fixed_4kf_lba_delayed_ratio_max,fixed_4kf_lba_optimizer_edges_max,fixed_4kf_recovery_candidates,fixed_4kf_recovery_pregeom_allowed,fixed_4kf_recovery_created,fixed_4kf_probation_score_recent,fixed_4kf_probation_score_survived,fixed_4kf_probation_score_matured,fixed_4kf_probation_score_pose_use_edges,fixed_4kf_probation_score_lba_edges,fixed_4kf_pose_chain_guard_active_lines,fixed_4kf_pose_chain_guard_candidates,fixed_4kf_pose_chain_guard_created,fixed_4kf_pose_chain_need_score_max,fixed_4kf_pose_chain_keyframe_step_ratio_max,v13_min3_is_keyframe,v13_min3_kf_id,v13_min3_kf_step,v13_min3_kf_gap,v13_min3_kf_density,v13_min3_traj_est_step,v13_min3_traj_gt_step,v13_min3_traj_step_ratio,v13_min3_lba_count,v13_min3_lba_local_kf_max,v13_min3_lba_fixed_kf_max,v13_min3_lba_local_mp_max,v13_min3_lba_delayed_mp_sum,v13_min3_lba_delayed_mp_max,v13_min3_lba_delayed_ratio_max,v13_min3_lba_optimizer_edges_max,v13_min3_recovery_candidates,v13_min3_recovery_pregeom_allowed,v13_min3_recovery_created,v13_min3_probation_score_recent,v13_min3_probation_score_survived,v13_min3_probation_score_matured,v13_min3_probation_score_pose_use_edges,v13_min3_probation_score_lba_edges,v13_min3_pose_chain_guard_active_lines,v13_min3_pose_chain_guard_candidates,v13_min3_pose_chain_guard_created,v13_min3_pose_chain_need_score_max,v13_min3_pose_chain_keyframe_step_ratio_max,v12_posterior_minus_v11_is_keyframe,v12_posterior_minus_v11_kf_density,v12_posterior_minus_v11_kf_step,v12_posterior_minus_v11_traj_est_step,v12_posterior_minus_v11_traj_step_ratio,v12_posterior_minus_v11_lba_delayed_mp_sum,v12_posterior_minus_v11_lba_delayed_mp_max,v12_posterior_minus_v11_lba_local_mp_max,v12_posterior_minus_v11_recovery_created,v12_posterior_minus_v11_pose_chain_guard_active_lines
0,0-149,1.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1,0-149,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.003481661,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.003481661,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.003481661,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.003481661,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.003481661,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
2,0-149,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.010629800,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,1.000000000,0.016845421,2.000000000,2.000000000,0.019703969,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.033943637,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.024573255,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.010417418,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,2.000000000,0.016845421,0.009074170,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
3,0-149,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.004594243,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.004142140,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.005530630,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.003927677,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.002630732,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000452103,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
4,0-149,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000897788,0.003940812,0.227818031,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000897788,0.003940812,0.227818128,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000897788,0.003940812,0.227817978,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000897789,0.003940812,0.227818191,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000897790,0.003940812,0.227818411,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000096,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
5,0-149,1.000000000,3.000000000,0.062377561,5.000000000,2.000000000,0.059435684,0.002675818,22.212157894,1.000000000,4.000000000,0.000000000,776.000000000,0.000000000,0.000000000,0.000000000,1493.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,3.000000000,0.021932318,3.000000000,3.000000000,0.023551446,0.002675818,8.801588457,1.000000000,4.000000000,0.000000000,776.000000000,0.000000000,0.000000000,0.000000000,1493.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,3.000000000,0.056217040,5.000000000,2.000000000,0.029668504,0.002675818,11.087640336,1.000000000,4.000000000,0.000000000,776.000000000,0.000000000,0.000000000,0.000000000,1493.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,3.000000000,0.040360615,5.000000000,2.000000000,0.019069309,0.002675818,7.126535398,1.000000000,4.000000000,0.000000000,776.000000000,0.000000000,0.000000000,0.000000000,1493.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,3.000000000,0.031063863,5.000000000,2.000000000,0.022455776,0.002675818,8.392117501,1.000000000,4.000000000,0.000000000,776.000000000,0.000000000,0.000000000,0.000000000,1493.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,-0.040445243,-0.035884238,-13.410569437,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
6,0-149,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.003802274,0.002362202,1.609630807,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.003802276,0.002362202,1.609631794,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.003802276,0.002362202,1.609631989,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.003802272,0.002362202,1.609630291,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.003802273,0.002362202,1.609630707,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000002,0.000000987,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
7,0-149,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.004290771,0.003442383,1.246453846,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.004290779,0.003442383,1.246456057,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.004290779,0.003442383,1.246456000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.004290778,0.003442383,1.246455642,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.004290777,0.003442383,1.246455572,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000008,0.000002211,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
8,0-149,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.068566952,0.002968164,23.100793131,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.033315844,0.002968164,11.224393139,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.038831097,0.002968164,13.082529142,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.029431729,0.002968164,9.915801512,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.032266968,0.002968164,10.871017716,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.035251108,-11.876399992,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
9,0-149,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.063034872,0.003051229,20.658844862,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.028605593,0.003051229,9.375104571,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.033849667,0.003051229,11.093780429,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.026609891,0.003051229,8.721039430,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.027317880,0.003051229,8.953073655,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.034429279,-11.283740290,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
