segment,events,applied,skipped,motion_pressure,mean_static_inliers,mean_estimated_step,mean_allowed_step,mean_target_step,mean_step_ratio
0-149,40,40,0,16,184.375,0.026824425000000002,0.016477375,0.016477375,1.95065555
150-299,71,69,2,21,157.8732394366197,0.03090947887323944,0.018,0.018,1.9254662394366195
300-549,21,17,4,13,181.61904761904762,0.023872476190476194,0.013614619047619046,0.014485999999999999,2.8903257142857144
550-599,16,12,4,14,162.75,0.0397646875,0.0170429375,0.017276916666666666,3.6065481875
600-905,75,74,1,38,169.94666666666666,0.029227479999999997,0.017221706666666666,0.01721118918918919,2.224267186666667
