segment,match_start,match_end,count,gt_path_m,gt_chord_m,v17_fallback_se3_rmse_m,v17_fallback_sim3_rmse_m,v17_fallback_global_sim3_scale,v17_fallback_est_path_m,v17_fallback_path_ratio,v17_fallback_est_chord_m,v17_fallback_chord_ratio,v18_default_se3_rmse_m,v18_default_sim3_rmse_m,v18_default_global_sim3_scale,v18_default_est_path_m,v18_default_path_ratio,v18_default_est_chord_m,v18_default_chord_ratio,v18_motion_only_se3_rmse_m,v18_motion_only_sim3_rmse_m,v18_motion_only_global_sim3_scale,v18_motion_only_est_path_m,v18_motion_only_path_ratio,v18_motion_only_est_chord_m,v18_motion_only_chord_ratio,v18_soft_se3_rmse_m,v18_soft_sim3_rmse_m,v18_soft_global_sim3_scale,v18_soft_est_path_m,v18_soft_path_ratio,v18_soft_est_chord_m,v18_soft_chord_ratio
global,0,905,906,3.172324208,0.311993429,0.207055083,0.115205288,0.451318663,15.813751004,4.984910106,0.740166530,2.372378585,0.141229120,0.094765068,0.598268550,16.790823001,5.292908889,0.424736165,1.361362531,0.176892974,0.119671923,0.528265729,15.102015684,4.760552419,0.524512831,1.681166272,0.584205507,0.152623041,0.150654860,17.137912641,5.402320670,1.782979462,5.714798113
0-149,0,149,150,1.254208898,0.380905841,0.123761488,0.175615355,0.451318663,2.430053209,1.937518713,0.596501304,1.566007237,0.066396343,0.118831380,0.598268550,2.545861812,2.029854690,0.550531792,1.445322525,0.130359677,0.152057179,0.528265729,2.524376630,2.012724224,0.665402292,1.746894429,0.402171492,0.275865058,0.150654860,2.474110245,1.972646064,0.714498807,1.875788526
150-299,150,299,150,0.599033979,0.400691627,0.217376749,0.076605512,0.451318663,3.547264889,5.921642200,0.600559576,1.498807400,0.133736458,0.051570639,0.598268550,3.299171810,5.507486931,0.494572512,1.234297097,0.228458378,0.081005496,0.528265729,3.369519233,5.624921710,0.640608856,1.598757779,0.640084549,0.165453852,0.150654860,3.265585298,5.451419140,0.682978933,1.704500136
300-549,300,549,250,0.330581659,0.097217797,0.045873410,0.058039629,0.451318663,3.751348973,11.347722622,0.113841249,1.170991866,0.032959501,0.044588552,0.598268550,3.644041301,11.023120003,0.060002925,0.617201043,0.063694473,0.052564749,0.528265729,3.667182223,11.093120628,0.150979042,1.552997979,0.365888798,0.060424615,0.150654860,4.338245957,13.123069100,0.169146660,1.739873411
550-599,550,599,50,0.178867364,0.107808627,0.103177785,0.071531192,0.451318663,1.270730592,7.104317772,0.138718719,1.286712605,0.248124283,0.155637419,0.598268550,1.992757205,11.140977100,0.414605083,3.845750522,0.182711969,0.137506196,0.528265729,0.806919213,4.511271342,0.181246462,1.681187004,0.450197366,0.099641534,0.150654860,2.138003741,11.953011967,0.919661611,8.530501120
600-905,600,905,306,0.797773001,0.290439736,0.304637623,0.133091783,0.451318663,4.757267406,5.963184263,0.978506345,3.369051217,0.192818954,0.113053425,0.598268550,5.242627399,6.571577870,0.898465335,3.093465614,0.239045538,0.160163826,0.528265729,4.667955646,5.851232918,0.512875217,1.765857610,0.766739523,0.116785579,0.150654860,4.777194781,5.988163016,1.001123655,3.446923862
