segment,match_start,match_end,count,gt_path_m,gt_chord_m,v12_se3_rmse_m,v12_sim3_rmse_m,v12_global_sim3_scale,v12_est_path_m,v12_path_ratio,v12_est_chord_m,v12_chord_ratio,v17_fallback_se3_rmse_m,v17_fallback_sim3_rmse_m,v17_fallback_global_sim3_scale,v17_fallback_est_path_m,v17_fallback_path_ratio,v17_fallback_est_chord_m,v17_fallback_chord_ratio,v18_se3_rmse_m,v18_sim3_rmse_m,v18_global_sim3_scale,v18_est_path_m,v18_path_ratio,v18_est_chord_m,v18_chord_ratio
global,0,905,906,3.172324208,0.311993429,0.232164579,0.125501679,0.404131777,15.567030214,4.907137226,0.897417112,2.876397474,0.207055083,0.115205288,0.451318663,15.813751004,4.984910106,0.740166530,2.372378585,0.141229120,0.094765068,0.598268550,16.790823001,5.292908889,0.424736165,1.361362531
0-149,0,149,150,1.254208898,0.380905841,0.139352117,0.197475111,0.404131777,2.519780139,2.009059371,0.553163855,1.452232534,0.123761488,0.175615355,0.451318663,2.430053209,1.937518713,0.596501304,1.566007237,0.066396343,0.118831380,0.598268550,2.545861812,2.029854690,0.550531792,1.445322525
150-299,150,299,150,0.599033979,0.400691627,0.181080810,0.091200757,0.404131777,3.271453253,5.461214836,0.576533742,1.438846493,0.217376749,0.076605512,0.451318663,3.547264889,5.921642200,0.600559576,1.498807400,0.133736458,0.051570639,0.598268550,3.299171810,5.507486931,0.494572512,1.234297097
300-549,300,549,250,0.330581659,0.097217797,0.053376532,0.061746896,0.404131777,3.583858010,10.841067281,0.107555301,1.106333457,0.045873410,0.058039629,0.451318663,3.751348973,11.347722622,0.113841249,1.170991866,0.032959501,0.044588552,0.598268550,3.644041301,11.023120003,0.060002925,0.617201043
550-599,550,599,50,0.178867364,0.107808627,0.092586604,0.060763774,0.404131777,1.359410380,7.600102950,0.137278014,1.273349063,0.103177785,0.071531192,0.451318663,1.270730592,7.104317772,0.138718719,1.286712605,0.248124283,0.155637419,0.598268550,1.992757205,11.140977100,0.414605083,3.845750522
600-905,600,905,306,0.797773001,0.290439736,0.360924225,0.140438472,0.404131777,4.764661747,5.972452991,1.118337621,3.850497999,0.304637623,0.133091783,0.451318663,4.757267406,5.963184263,0.978506345,3.369051217,0.192818954,0.113053425,0.598268550,5.242627399,6.571577870,0.898465335,3.093465614
