segment,events,applied,skipped,motion_pressure,mean_static_inliers,mean_static_grid_coverage,mean_estimated_step,mean_allowed_step,mean_target_step,mean_step_ratio
0-149,40,40,0,16,184.375,0.0335124,0.026824425000000002,0.016477375,0.016477375,1.95065555
150-299,76,76,0,25,163.80263157894737,0.033605750000000004,0.03265048684210527,0.018,0.018,1.9765667236842106
300-549,22,22,0,17,178.5,0.03651763636363636,0.021251909090909092,0.01126590909090909,0.01126590909090909,3.6290834090909088
550-599,17,14,3,12,156.23529411764707,0.025639529411764703,0.05639129411764706,0.017422764705882353,0.017299071428571428,4.466617941176471
600-905,90,87,3,48,180.67777777777778,0.03526114444444445,0.029576544444444443,0.01692902222222222,0.016892091954022987,2.1908133444444444
