segment,frames,frame_start,frame_end,se3_rmse_m,sim3_rmse_m,est_path_m,gt_path_m,path_ratio,keyframes,keyframe_rate,support_low_frames,motion_pressure_frames,keyframe_pressure_frames,boundary_pressure_frames,strict_risk_frames,relaxed_risk_frames,step_spike_frames,mean_static_inliers,min_static_inliers,mean_grid_coverage,min_grid_coverage,mean_step_ratio_proxy,max_step_ratio_proxy,mean_boundary_frac,max_boundary_frac
0-149,147,3,149,0.119189599,0.178368800,2.438404407,1.244981257,1.958587243,86,0.585034014,66,19,147,4,4,73,19,325.326530612,153.000000000,0.055923129,0.024414000,1.306695388,4.284621000,0.090620245,0.317857000
150-299,150,150,299,0.215309485,0.079472037,3.292264283,0.601392462,5.474402314,120,0.800000000,94,23,150,0,0,99,23,233.973333333,97.000000000,0.044791680,0.020508000,1.168371573,4.587451000,0.020113307,0.077670000
300-549,250,300,549,0.048015532,0.058952415,3.750074799,0.337834147,11.100342667,91,0.364000000,64,25,203,0,0,78,25,365.964000000,143.000000000,0.064881508,0.028971000,1.155437384,7.969371000,0.004797980,0.070175000
550-599,50,550,599,0.092426905,0.066551053,1.255037151,0.177237945,7.081086100,29,0.580000000,29,14,50,0,0,34,14,369.640000000,113.000000000,0.048333300,0.017904000,1.879147580,6.691233000,0.026137800,0.067164000
600-905,306,600,905,0.300195502,0.131671282,4.724842288,0.807567276,5.850710434,208,0.679738562,97,42,306,0,0,119,42,304.777777778,117.000000000,0.056970431,0.023763000,1.147260000,5.444803000,0.025344461,0.150538000
