match_index,frame_id,timestamp,se3_error_m,sim3_error_m,global_sim3_scale,est_step_m,gt_step_m,est_gt_step_ratio,is_keyframe_created,tracked_map_points,tracked_static_map_points,inlier_map_matches_after_pose,local_map_matches_before_pose,v14_static_inlier_count,v14_static_inlier_grid_coverage,v14_boundary_inlier_frac,v14_step_ratio_proxy,v14_recent_keyframe_rate,v14_recent_keyframes_per_m,v14_support_low,v14_motion_pressure,v14_keyframe_pressure,v14_boundary_pressure,v14_pose_chain_risk,segment
24,27,1341846648.674052954,0.070682193,0.109059195,0.451040600,0.004681316,0.007879721,0.594096678,0,304,304,304,478,284,0.050130000,0.131579000,0.561895000,0.407407000,59.303818000,0,0,1,0,0,0-149
25,28,1341846648.706058025,0.077864484,0.117767754,0.451040600,0.009416469,0.008524084,1.104689939,0,249,249,249,479,230,0.044596000,0.184739000,1.183524000,0.392857000,58.232444000,1,0,1,0,0,0-149
26,29,1341846648.738116026,0.071812070,0.119431367,0.451040600,0.014289010,0.007340981,1.946471489,0,254,254,254,458,243,0.046224000,0.106299000,2.352727000,0.379310000,56.162124000,1,1,1,0,0,0-149
27,30,1341846648.774049044,0.077694489,0.126361093,0.451040600,0.004182789,0.007001428,0.597419343,1,481,481,234,436,466,0.080729000,0.045738000,1.626839000,0.366667000,52.343427000,0,0,1,0,0,0-149
28,31,1341846648.805941105,0.083561020,0.133810232,0.451040600,0.007105012,0.009576534,0.741918989,1,509,509,282,465,490,0.081055000,0.064833000,0.918946000,0.400000000,54.461366000,0,0,1,0,0,0-149
29,32,1341846648.838602066,0.087180525,0.138438106,0.451040600,0.006568754,0.006621933,0.991969197,1,483,483,302,487,477,0.077148000,0.031056000,1.377062000,0.433333000,58.384030000,0,0,1,0,0,0-149
30,33,1341846648.874088049,0.096171901,0.145759905,0.451040600,0.008263858,0.007963040,1.037776861,1,488,488,330,523,471,0.080729000,0.084016000,1.240788000,0.433333000,57.400959000,0,0,1,0,0,0-149
31,34,1341846648.906164885,0.090775534,0.147774647,0.451040600,0.014663602,0.008751571,1.675539328,1,499,499,262,424,487,0.075846000,0.094188000,4.111598000,0.433333000,57.592489000,0,1,1,0,0,0-149
32,35,1341846648.942153931,0.091416734,0.148591137,0.451040600,0.015973532,0.006842514,2.334453672,1,431,431,118,292,377,0.061198000,0.132251000,2.226422000,0.466667000,55.979440000,0,1,1,0,0,0-149
33,36,1341846648.974090099,0.101860937,0.154031636,0.451040600,0.010610901,0.006059703,1.751059592,1,414,414,202,396,357,0.052734000,0.142512000,1.657587000,0.466667000,54.008659000,0,0,1,0,0,0-149
34,37,1341846649.006156921,0.098962781,0.157739103,0.451040600,0.007228637,0.006341924,1.139817674,1,373,373,264,458,354,0.052734000,0.061662000,2.002632000,0.500000000,55.965924000,0,1,1,0,0,0-149
35,38,1341846649.042100906,0.108553742,0.164307567,0.451040600,0.020194294,0.008629021,2.340276486,1,277,277,185,370,242,0.037109000,0.238267000,2.616994000,0.533333000,57.044464000,1,1,1,0,0,0-149
36,39,1341846649.074127913,0.116259184,0.171478265,0.451040600,0.009038484,0.005785326,1.562311846,1,280,280,195,361,250,0.036458000,0.200000000,1.529707000,0.566667000,58.232672000,1,0,1,0,0,0-149
37,40,1341846649.106188059,0.115274670,0.174839363,0.451040600,0.008748925,0.007355950,1.189367101,1,252,252,204,379,211,0.032227000,0.194444000,1.075792000,0.600000000,60.333547000,1,0,1,0,0,0-149
38,41,1341846649.142041922,0.114665517,0.178346519,0.451040600,0.012834477,0.005748043,2.232842902,1,285,285,231,387,259,0.041341000,0.147368000,2.201671000,0.633333000,63.557521000,1,1,1,0,0,0-149
39,42,1341846649.174442053,0.105095543,0.174185264,0.451040600,0.021053295,0.005399074,3.899427091,0,230,230,230,375,194,0.029948000,0.282609000,2.134243000,0.633333000,61.791223000,1,1,1,1,1,0-149
40,43,1341846649.216151953,0.101758896,0.178679650,0.451040600,0.010462324,0.008829496,1.184928730,0,198,198,198,341,162,0.024414000,0.227273000,0.780368000,0.633333000,59.459718000,1,0,1,0,0,0-149
