match_index,frame_id,timestamp,se3_error_m,sim3_error_m,global_sim3_scale,est_step_m,gt_step_m,est_gt_step_ratio,is_keyframe_created,tracked_map_points,tracked_static_map_points,inlier_map_matches_after_pose,local_map_matches_before_pose,v14_static_inlier_count,v14_static_inlier_grid_coverage,v14_boundary_inlier_frac,v14_step_ratio_proxy,v14_recent_keyframe_rate,v14_recent_keyframes_per_m,v14_support_low,v14_motion_pressure,v14_keyframe_pressure,v14_boundary_pressure,v14_pose_chain_risk,segment
24,27,1341846648.674052954,0.090939548,0.123671335,0.424366525,0.002459545,0.007879721,0.312136045,1,520,520,291,486,499,0.085938000,0.071154000,0.927367000,0.333333000,54.330412000,0,0,1,0,0,0-149
25,28,1341846648.706058025,0.093755251,0.129957152,0.424366525,0.010688355,0.008524084,1.253900728,1,493,493,279,493,477,0.083008000,0.087221000,1.356386000,0.357143000,58.393007000,0,0,1,0,0,0-149
26,29,1341846648.738116026,0.089430041,0.132084907,0.424366525,0.012514045,0.007340981,1.704682993,0,311,311,311,465,299,0.055339000,0.102894000,3.497174000,0.379310000,61.372338000,0,1,1,0,0,0-149
27,30,1341846648.774049044,0.099748066,0.140597600,0.424366525,0.013032094,0.007001428,1.861347910,0,285,285,285,460,272,0.050781000,0.108772000,1.316068000,0.366667000,54.903087000,0,0,1,0,0,0-149
28,31,1341846648.805941105,0.104721676,0.148577806,0.424366525,0.004943534,0.009576534,0.516213258,0,297,297,297,480,277,0.050781000,0.134680000,0.797444000,0.366667000,52.756510000,0,0,1,0,0,0-149
29,32,1341846648.838602066,0.116890819,0.155808628,0.424366525,0.011489278,0.006621933,1.735033739,1,485,485,272,451,478,0.075846000,0.037113000,1.357171000,0.366667000,52.389198000,0,0,1,0,0,0-149
30,33,1341846648.874088049,0.122763709,0.161600287,0.424366525,0.010871489,0.007963040,1.365243590,1,521,521,308,449,508,0.083008000,0.061420000,1.567186000,0.366667000,51.523714000,0,0,1,0,0,0-149
31,34,1341846648.906164885,0.126258438,0.167900908,0.424366525,0.006871064,0.008751571,0.785123493,1,502,502,278,439,492,0.075521000,0.083665000,1.595547000,0.366667000,51.223796000,0,0,1,0,0,0-149
32,35,1341846648.942153931,0.112687608,0.163903717,0.424366525,0.026198457,0.006842514,3.828776502,1,428,428,145,341,377,0.058594000,0.130841000,2.656604000,0.400000000,53.862143000,0,1,1,0,0,0-149
33,36,1341846648.974090099,0.132757254,0.172748389,0.424366525,0.021198267,0.006059703,3.498235304,0,201,201,201,365,137,0.024740000,0.333333000,3.990856000,0.400000000,51.108807000,1,1,1,1,1,0-149
34,37,1341846649.006156921,0.109914524,0.167944793,0.424366525,0.032337636,0.006341924,5.099026161,1,363,363,181,393,335,0.052734000,0.085399000,3.238132000,0.400000000,45.977443000,0,1,1,0,0,0-149
35,38,1341846649.042100906,0.129095868,0.179010070,0.424366525,0.018918696,0.008629021,2.192449892,1,267,267,180,391,235,0.032878000,0.198502000,2.538029000,0.433333000,45.886829000,1,1,1,0,0,0-149
36,39,1341846649.074127913,0.141793425,0.187494057,0.424366525,0.020844579,0.005785326,3.603008330,1,263,263,187,390,231,0.034180000,0.209125000,1.313960000,0.466667000,47.648820000,1,0,1,0,0,0-149
37,40,1341846649.106188059,0.139182226,0.189280198,0.424366525,0.014617103,0.007355950,1.987112928,1,248,248,197,370,209,0.033203000,0.193548000,1.651455000,0.500000000,50.210720000,1,0,1,0,0,0-149
38,41,1341846649.142041922,0.133795239,0.190141541,0.424366525,0.019430217,0.005748043,3.380318553,0,224,224,224,360,195,0.033203000,0.209821000,3.382238000,0.533333000,52.791488000,1,1,1,0,0,0-149
39,42,1341846649.174442053,0.124899165,0.189839404,0.424366525,0.016271540,0.005399074,3.013764894,0,200,200,200,350,167,0.027995000,0.295000000,1.964516000,0.500000000,46.504681000,1,0,1,1,1,0-149
40,43,1341846649.216151953,0.122454574,0.192929918,0.424366525,0.013854902,0.008829496,1.569161114,0,192,192,192,332,163,0.025391000,0.187500000,1.521289000,0.500000000,45.095764000,1,0,1,0,0,0-149
41,44,1341846649.248048067,0.126791264,0.198417134,0.424366525,0.001334858,0.005308484,0.251457483,0,190,190,190,348,164,0.027669000,0.200000000,0.135562000,0.500000000,43.801897000,1,0,1,0,0,0-149
42,45,1341846649.280075073,0.143718482,0.205866517,0.424366525,0.015269419,0.005561475,2.745570237,0,182,182,182,344,155,0.026693000,0.230769000,1.550698000,0.500000000,44.480465000,1,0,1,0,0,0-149
43,46,1341846649.316071033,0.135824533,0.207831531,0.424366525,0.014516908,0.007349150,1.975318077,0,189,189,189,324,152,0.026693000,0.269841000,1.459458000,0.466667000,40.852673000,1,0,1,1,1,0-149
44,47,1341846649.348041058,0.119314007,0.207571900,0.424366525,0.020333881,0.005141012,3.955229581,0,173,173,173,324,153,0.027669000,0.213873000,2.018202000,0.466667000,39.712628000,1,1,1,0,0,0-149
45,48,1341846649.383972883,0.124719172,0.213045991,0.424366525,0.011933899,0.005465345,2.183558030,0,173,173,173,323,140,0.026042000,0.277457000,1.173933000,0.466667000,38.345176000,1,0,1,1,1,0-149
46,49,1341846649.416053057,0.152129318,0.220496012,0.424366525,0.035376665,0.007218033,4.901150429,1,240,240,141,307,222,0.038411000,0.112500000,2.672526000,0.433333000,35.408242000,1,1,1,0,0,0-149
47,50,1341846649.448084116,0.151481555,0.225738332,0.424366525,0.006293931,0.005223983,1.204814486,1,289,289,200,374,267,0.041992000,0.124567000,0.765368000,0.466667000,35.881025000,1,0,1,0,0,0-149
48,51,1341846649.484153986,0.129606782,0.222836122,0.424366525,0.025174168,0.004688283,5.369592007,1,313,313,249,419,290,0.046875000,0.150160000,1.510337000,0.466667000,35.659973000,1,0,1,0,0,0-149
49,52,1341846649.516197920,0.130666766,0.223151115,0.424366525,0.016429712,0.005003998,3.283316895,1,334,334,279,453,302,0.047852000,0.152695000,1.240230000,0.500000000,37.742496000,1,0,1,0,0,0-149
50,53,1341846649.552100897,0.132965281,0.226302214,0.424366525,0.009842713,0.006485368,1.517679993,0,313,313,313,449,281,0.046549000,0.146965000,1.726938000,0.533333000,39.149020000,1,0,1,0,0,0-149
51,54,1341846649.616167068,0.129308183,0.235825915,0.424366525,0.017204206,0.011943618,1.440451828,0,302,302,302,449,268,0.044596000,0.201987000,1.095935000,0.533333000,37.500076000,1,0,1,0,0,0-149
52,55,1341846649.646135092,0.131159817,0.235795611,0.424366525,0.015490513,0.004868265,3.181937455,0,288,288,288,437,259,0.042318000,0.184028000,1.113316000,0.500000000,34.383839000,1,0,1,0,0,0-149
53,56,1341846649.678101063,0.128791241,0.240051760,0.424366525,0.018354975,0.005812056,3.158086226,0,267,267,267,422,247,0.042969000,0.142322000,1.288533000,0.466667000,31.472280000,1,0,1,0,0,0-149
54,57,1341846649.710937023,0.139725612,0.246482008,0.424366525,0.011352668,0.005686827,1.996309736,1,320,320,220,405,300,0.055339000,0.115625000,0.402122000,0.466667000,30.902239000,0,0,1,0,0,0-149
55,58,1341846649.746112108,0.131123976,0.246108601,0.424366525,0.017005186,0.007555131,2.250812971,1,313,313,255,425,292,0.048177000,0.105431000,1.426159000,0.466667000,30.879430000,1,0,1,0,0,0-149
56,59,1341846649.778018951,0.139914618,0.252503147,0.424366525,0.008438758,0.006044833,1.396028437,1,380,380,237,410,369,0.063151000,0.055263000,0.707458000,0.466667000,30.014286000,0,0,1,0,0,0-149
57,60,1341846649.810256958,0.149807895,0.259430064,0.424366525,0.013451215,0.006223343,2.161413113,1,356,356,208,435,343,0.058919000,0.064607000,0.871847000,0.500000000,32.892360000,0,0,1,0,0,0-149
58,61,1341846649.846059084,0.163001472,0.268490190,0.424366525,0.011795728,0.008932525,1.320536787,0,226,226,226,429,208,0.038737000,0.163717000,1.439900000,0.533333000,34.726099000,1,0,1,0,0,0-149
59,62,1341846649.878137112,0.155426243,0.270872038,0.424366525,0.012523906,0.006592420,1.899743418,0,240,240,240,437,223,0.041016000,0.133333000,0.807023000,0.533333000,33.538999000,1,0,1,0,0,0-149
60,63,1341846649.914184093,0.134375406,0.269358701,0.424366525,0.027269105,0.006558201,4.158016063,0,233,233,233,431,217,0.037109000,0.107296000,1.801689000,0.500000000,31.194258000,1,0,1,0,0,0-149
61,64,1341846649.952611923,0.144774265,0.272811578,0.424366525,0.026886166,0.010024969,2.681920135,1,291,291,223,421,270,0.045573000,0.103093000,1.989457000,0.466667000,28.105360000,1,0,1,0,0,0-149
62,65,1341846649.978334904,0.140412373,0.275958708,0.424366525,0.012129853,0.008397023,1.444542025,1,351,351,279,472,337,0.057617000,0.065527000,0.792287000,0.466667000,26.998819000,0,0,1,0,0,0-149
63,66,1341846650.014156103,0.144127095,0.281758213,0.424366525,0.009443197,0.008200610,1.151523711,1,363,363,302,481,349,0.053385000,0.093664000,0.533413000,0.466667000,27.277808000,0,0,1,0,0,0-149
64,67,1341846650.046184063,0.149107272,0.287927042,0.424366525,0.020314567,0.010410091,1.951430297,1,323,323,294,493,315,0.048177000,0.108359000,1.075799000,0.500000000,30.477119000,1,0,1,0,0,0-149
65,68,1341846650.078249931,0.144713336,0.288756590,0.424366525,0.017797416,0.007462573,2.384889988,0,302,302,302,466,285,0.049154000,0.082781000,1.330689000,0.500000000,31.058022000,1,0,1,0,0,0-149
66,69,1341846650.114214897,0.148725781,0.296525174,0.424366525,0.009265437,0.007810250,1.186317586,0,304,304,304,467,281,0.048177000,0.111842000,0.612173000,0.466667000,29.007427000,1,0,1,0,0,0-149
67,70,1341846650.146136999,0.147279255,0.301591976,0.424366525,0.012030332,0.010058827,1.195997468,0,275,275,275,437,247,0.044922000,0.141818000,0.794849000,0.433333000,27.010084000,1,0,1,0,0,0-149
68,71,1341846650.182235956,0.151602160,0.304786893,0.424366525,0.018186424,0.007214569,2.520791572,0,240,240,240,431,222,0.039714000,0.104167000,1.201592000,0.400000000,25.009856000,1,0,1,0,0,0-149
69,72,1341846650.214164019,0.157056721,0.309977995,0.424366525,0.012030499,0.007595393,1.583920462,1,335,335,251,428,312,0.050130000,0.080597000,0.909525000,0.400000000,25.515331000,0,0,1,0,0,0-149
70,73,1341846650.246083975,0.159672097,0.316438577,0.424366525,0.005900003,0.009009994,0.654828757,1,363,363,322,484,341,0.053385000,0.096419000,0.560168000,0.433333000,27.789660000,0,0,1,0,0,0-149
71,74,1341846650.282166958,0.147383349,0.313861639,0.424366525,0.024196240,0.006567343,3.684326888,1,332,332,269,498,317,0.053711000,0.075301000,1.198392000,0.466667000,30.289096000,0,0,1,0,0,0-149
72,75,1341846650.314157963,0.161301114,0.322055880,0.424366525,0.015189442,0.006256197,2.427903491,1,385,385,339,538,365,0.055664000,0.059740000,0.980187000,0.500000000,31.343717000,0,0,1,0,0,0-149
73,76,1341846650.350452900,0.171560910,0.328736623,0.424366525,0.005818856,0.006438167,0.903806260,0,340,340,340,509,317,0.055013000,0.117647000,0.788158000,0.533333000,33.463645000,0,0,1,0,0,0-149
74,77,1341846650.382075071,0.160452759,0.325271169,0.424366525,0.018414086,0.003318132,5.549533749,0,317,317,317,480,295,0.051107000,0.094637000,1.234330000,0.533333000,33.657859000,0,0,1,0,0,0-149
75,78,1341846650.414223909,0.155832022,0.325233759,0.424366525,0.010136018,0.002437212,4.158858662,1,338,338,258,457,306,0.046875000,0.133136000,0.664621000,0.533333000,33.794335000,1,0,1,0,0,0-149
