segment,frames,frame_start,frame_end,se3_rmse_m,sim3_rmse_m,est_path_m,gt_path_m,path_ratio,keyframes,keyframe_rate,support_low_frames,motion_pressure_frames,keyframe_pressure_frames,boundary_pressure_frames,strict_risk_frames,relaxed_risk_frames,step_spike_frames,mean_static_inliers,min_static_inliers,mean_grid_coverage,min_grid_coverage,mean_step_ratio_proxy,max_step_ratio_proxy,mean_boundary_frac,max_boundary_frac
0-149,147,3,149,0.132178657,0.190663213,2.478219368,1.244981257,1.990567613,85,0.578231293,70,17,147,6,6,77,17,324.340136054,137.000000000,0.055741585,0.024740000,1.323938864,3.990856000,0.088426823,0.333333000
150-299,150,150,299,0.217905962,0.082265264,3.426203321,0.601392462,5.697117173,121,0.806666667,89,29,150,0,0,101,29,233.526666667,60.000000000,0.044186200,0.013997000,1.305859027,7.157080000,0.019974333,0.098765000
300-549,250,300,549,0.048281489,0.061034820,3.796277921,0.337834147,11.237105403,83,0.332000000,63,30,197,0,0,80,30,351.024000000,138.000000000,0.063269512,0.026042000,1.201270276,8.137056000,0.004252384,0.062500000
550-599,50,550,599,0.083303491,0.061287246,1.223898599,0.177237945,6.905398259,24,0.480000000,33,14,50,0,0,36,14,347.560000000,107.000000000,0.046152340,0.015951000,1.797648380,8.687713000,0.024915280,0.072727000
600-799,200,600,799,0.090151817,0.072597694,2.950590400,0.367134473,8.036811070,132,0.660000000,46,29,197,0,0,69,29,317.530000000,111.000000000,0.058247085,0.024414000,1.177678370,5.614915000,0.027136350,0.147059000
800-905,106,800,905,0.538140584,0.207206409,1.904297018,0.440432803,4.323694797,61,0.575471698,34,10,106,0,0,39,10,289.820754717,160.000000000,0.056477877,0.033529000,1.089672000,3.263036000,0.020204349,0.195767000
