dataset,run_a,run_b,camera_sha_a,camera_sha_b,camera_byte_identical,keyframe_timeline_sha_a,keyframe_timeline_sha_b,keyframe_timeline_byte_identical,keyframes_a,keyframes_b
wrpy,wrpy_precision_mainline_r1,wrpy_precision_mainline_r2,5ad9ef69caf8a5a07287ac75a6db69447b7c6b0036f5a3dc633cc499f6306896,5ad9ef69caf8a5a07287ac75a6db69447b7c6b0036f5a3dc633cc499f6306896,1,09291c93336ec9ea578ae139fea90e2d1e714601d29f60e89fb2a84df6638fd4,09291c93336ec9ea578ae139fea90e2d1e714601d29f60e89fb2a84df6638fd4,1,366,366
wxyz,wxyz_precision_mainline_r1,wxyz_precision_mainline_r2,9d62c8bb660858147c6d87d06dc7da0ba9386f521e0f623cf39fdb3665fee4d4,9d62c8bb660858147c6d87d06dc7da0ba9386f521e0f623cf39fdb3665fee4d4,1,ab9c8422026a36065ba197b52960333b6fad5303fcbc97ec06dcd6e338cd98b4,ab9c8422026a36065ba197b52960333b6fad5303fcbc97ec06dcd6e338cd98b4,1,179,179
