segment_frame,events,applied,skipped,applied_no_motion_pressure,mean_estimated_step,mean_allowed_step,mean_step_ratio,median_step_ratio,mean_static_inliers,mean_static_grid,mean_clipped_m,median_clipped_frac
0-99,30,29,1,14,0.03085710344827586,0.017999999999999995,2.2738672068965515,2.15218,116.51724137931035,0.02125993103448276,0.012857103448275863,0.37847450018991063
100-199,35,35,0,32,0.027129657142857144,0.018,1.5630049142857143,1.518366,240.2,0.04197362857142857,0.009129657142857144,0.2988469928326582
200-399,27,26,1,15,0.03053592307692308,0.018,1.9332846538461537,1.8468605,189.65384615384616,0.036809,0.01253592307692308,0.38068908624576314
400-599,45,45,0,35,0.026162977777777777,0.017959377777777775,1.692297288888889,1.50309,215.13333333333333,0.03951826666666666,0.008203600000000002,0.25246065035923426
600-799,47,47,0,38,0.023755510638297873,0.017976574468085104,1.6119356808510639,1.530061,151.63829787234042,0.031007617021276593,0.005778936170212768,0.19553072625698326
800-1067,42,42,0,13,0.016736309523809525,0.011358214285714286,2.804651476190476,2.3109205,186.97619047619048,0.038558666666666665,0.005378095238095239,0.2685958686746832
