run,events,applied,skipped,applied_no_motion_pressure,applied_no_motion_frac,mean_estimated_step_applied,median_estimated_step_applied,p90_estimated_step_applied,mean_allowed_step_applied,mean_step_ratio_applied,median_step_ratio_applied,mean_static_inliers_applied,mean_static_grid_applied,mean_clipped_m,median_clipped_frac,p90_clipped_frac
whalfsphere_v19,226,224,2,147,0.65625,0.02515667857142857,0.0239765,0.035913200000000006,0.016741589285714283,1.9670644598214284,1.7629415,184.72321428571428,0.03525800446428572,0.008415089285714288,0.2800414003191645,0.540274494854893
wrpy_v19,245,239,6,127,0.5313807531380753,0.030421728033472803,0.025905,0.04746620000000001,0.016680937238493725,2.311989769874477,1.942359,175.73221757322176,0.03428049372384937,0.013740790794979082,0.33308632826972956,0.6225924236905411
wxyz_A_raw_v19,118,117,1,74,0.6324786324786325,0.026221623931623934,0.022811,0.040615200000000004,0.01780759829059829,1.9267859487179486,1.786185,194.05128205128204,0.036647512820512824,0.008414025641025643,0.22417282646955305,0.5567998933017027
wxyz_D_v19,99,99,0,70,0.7070707070707071,0.02488517171717172,0.022286,0.0335748,0.017867272727272725,1.879250171717172,1.787904,213.02020202020202,0.0393650101010101,0.007017898989898992,0.208860759493671,0.46387730411326045
wstatic_v19,70,70,0,13,0.18571428571428572,0.020228371428571427,0.016845,0.035676400000000004,0.010924914285714285,3.1698366428571427,2.8461585,219.81428571428572,0.04180621428571429,0.009303457142857142,0.3689105057743114,0.6233093162796699
