segment,lines,frames_with_logs,active_lines,candidate_sum,allowed_sum,rejected_sum,base_rejected_sum,support_rejected_sum,quota_rejected_sum,created_sum,allow_rate,created_per_candidate,frames_with_allowed,frames_with_created,scale_pressure_lines,step_spike_lines,mean_need_score,mean_keyframe_step,max_keyframe_step_ratio
0-149,31,8,31,13,0,13,13,0,0,0,0.0,0.0,0,0,22,15,2.225806451612903,0.03683748387096775,2.287221
150-299,253,50,253,173,0,173,163,10,0,0,0.0,0.0,0,0,65,45,2.1462450592885376,0.03203392490118577,3.773051
300-549,15,8,15,0,0,0,0,0,0,0,0.0,0.0,0,0,10,3,2.466666666666667,0.03300466666666667,3.950029
550-599,25,5,25,7,1,6,5,1,0,0,0.14285714285714285,0.0,1,0,18,0,2.2,0.046809960000000005,1.993146
600-799,191,38,191,42,0,42,41,1,0,0,0.0,0.0,0,0,49,19,2.0575916230366493,0.023161764397905762,2.903296
800-905,143,20,143,54,1,53,53,0,0,1,0.018518518518518517,0.018518518518518517,1,1,27,9,2.1888111888111887,0.037069286713286714,2.957172
