segment,match_start,match_end,count,gt_path_m,gt_chord_m,v12_se3_rmse_m,v12_sim3_rmse_m,v12_global_sim3_scale,v12_est_path_m,v12_path_ratio,v12_est_chord_m,v12_chord_ratio,v13_se3_rmse_m,v13_sim3_rmse_m,v13_global_sim3_scale,v13_est_path_m,v13_path_ratio,v13_est_chord_m,v13_chord_ratio,v15_targeted_se3_rmse_m,v15_targeted_sim3_rmse_m,v15_targeted_global_sim3_scale,v15_targeted_est_path_m,v15_targeted_path_ratio,v15_targeted_est_chord_m,v15_targeted_chord_ratio
global,0,905,906,3.172324208,0.311993429,0.181874438,0.107876391,0.501280295,21.612024122,6.812678246,0.678727938,2.175455871,0.165779045,0.101191521,0.536269400,19.785974198,6.237059298,0.584831844,1.874500516,0.207253158,0.114581990,0.451262182,15.693577586,4.947028285,0.748720037,2.399794248
0-149,0,149,150,1.254208898,0.380905841,0.102492328,0.166269389,0.501280295,3.047190719,2.429571919,0.510787070,1.340979880,0.089303587,0.153809305,0.536269400,2.981502935,2.377198042,0.508533672,1.335063990,0.113524947,0.176413379,0.451262182,2.552582168,2.035212932,0.628548842,1.650142301
150-299,150,299,150,0.599033979,0.400691627,0.215109473,0.064487490,0.501280295,5.667293759,9.460721693,0.656726315,1.638981877,0.205617917,0.060389349,0.536269400,4.690880186,7.830741412,0.596951108,1.489801802,0.217531319,0.076349163,0.451262182,3.229696738,5.391508415,0.613948772,1.532222614
300-549,300,549,250,0.330581659,0.097217797,0.073190507,0.064460813,0.501280295,5.797331166,17.536759841,0.115641089,1.189505342,0.036038232,0.047762274,0.536269400,4.856780532,14.691621258,0.157285865,1.617871116,0.045428336,0.056372003,0.451262182,3.718804230,11.249275712,0.110528384,1.136915125
550-599,550,599,50,0.178867364,0.107808627,0.077530088,0.066388187,0.501280295,1.159949431,6.484969679,0.144456944,1.339938633,0.056539368,0.044643208,0.536269400,1.196694212,6.690400001,0.126562671,1.173956809,0.100749450,0.071642363,0.451262182,1.207598817,6.751364758,0.144543637,1.340742773
600-799,600,799,200,0.356628373,0.047964258,0.068566284,0.068924254,0.501280295,3.533822122,9.908976384,0.081718052,1.703728071,0.070909694,0.062356185,0.536269400,3.712257914,10.409317371,0.079615422,1.659890630,0.084281568,0.065954832,0.451262182,2.979095208,8.353500271,0.091605284,1.909865566
800-905,800,905,106,0.440284396,0.303541117,0.421949766,0.183352092,0.501280295,2.006074414,4.556315037,0.888327954,2.926548999,0.386945947,0.187685638,0.536269400,2.220328955,5.042942642,0.814466329,2.683215820,0.508799055,0.204459300,0.451262182,1.929402456,4.382173144,1.023158915,3.370742401
