segment,frames,frame_start,frame_end,se3_rmse_m,sim3_rmse_m,est_path_m,gt_path_m,path_ratio,keyframes,keyframe_rate,support_low_frames,motion_pressure_frames,keyframe_pressure_frames,boundary_pressure_frames,strict_risk_frames,relaxed_risk_frames,step_spike_frames,mean_static_inliers,min_static_inliers,mean_grid_coverage,min_grid_coverage,mean_step_ratio_proxy,max_step_ratio_proxy,mean_boundary_frac,max_boundary_frac
0-149,147,3,149,0.110397103,0.177554327,2.478300496,1.244981257,1.990632777,85,0.578231293,69,17,147,6,6,74,17,323.585034014,137.000000000,0.055708333,0.024740000,1.277868544,3.990856000,0.088183313,0.333333000
150-299,150,150,299,0.219635431,0.077324569,3.276864655,0.601392462,5.448795694,115,0.766666667,102,21,150,0,0,109,21,235.513333333,87.000000000,0.045043393,0.020182000,1.245669633,8.110918000,0.019630173,0.073684000
300-549,250,300,549,0.045193645,0.056612792,3.762693317,0.337834147,11.137693889,93,0.372000000,63,21,214,0,0,75,21,364.412000000,120.000000000,0.064796888,0.026042000,1.101395024,8.722290000,0.004408352,0.056497000
550-599,50,550,599,0.098409462,0.070978983,1.231044148,0.177237945,6.945714397,27,0.540000000,31,15,50,0,0,36,15,356.880000000,103.000000000,0.047083280,0.015625000,1.665950200,7.516532000,0.025076500,0.069364000
600-799,200,600,799,0.084508125,0.065973562,2.991748986,0.367134473,8.148918727,132,0.660000000,56,26,200,0,0,75,26,316.030000000,126.000000000,0.057550500,0.024740000,1.162278480,4.348950000,0.029791555,0.149660000
800-905,106,800,905,0.496889243,0.200721775,1.927913778,0.440432803,4.377316508,62,0.584905660,33,19,106,0,0,41,19,288.952830189,179.000000000,0.056247538,0.034180000,1.234055255,4.315951000,0.021038142,0.135531000
