sequence_group,method_label,reference_label,ref_se3_rmse,method_se3_rmse,se3_delta,se3_relative_change_pct,ref_sim3_rmse,method_sim3_rmse,sim3_delta,ref_scale,method_scale,scale_delta
wxyz_D,V12 posterior,D-filtered original no backend mask,0.018361835183393,0.018569248168671,0.000207412985278,1.130,0.016257685602948,0.016112019496648,-0.000145666106300,0.972360417751318,0.970172740525517,-0.002187677225801
wxyz_D,V13 min3,D-filtered original no backend mask,0.018361835183393,0.018291491514248,-0.000070343669145,-0.383,0.016257685602948,0.015969670435623,-0.000288015167325,0.972360417751318,0.971153939387609,-0.001206478363709
whalfsphere_raw,V12 posterior,canonical D2MA-B r5,0.156093112357489,0.031729969385008,-0.124363142972481,-79.672,0.118843985982864,0.020507834236482,-0.098336151746382,0.823257551203868,0.952516992668653,0.129259441464785
whalfsphere_raw,V12 posterior repeat,canonical D2MA-B r5,0.156093112357489,0.031729969385008,-0.124363142972481,-79.672,0.118843985982864,0.020507834236482,-0.098336151746382,0.823257551203868,0.952516992668653,0.129259441464785
whalfsphere_raw,V13 min3,canonical D2MA-B r5,0.156093112357489,0.031729969385008,-0.124363142972481,-79.672,0.118843985982864,0.020507834236482,-0.098336151746382,0.823257551203868,0.952516992668653,0.129259441464785
wstatic_raw,V12 posterior,static negative-control D2MA-B r5,0.010971918193329,0.012324502681054,0.001352584487725,12.328,0.008702710654010,0.010820694444442,0.002117983790432,0.782027636643150,0.796517809496875,0.014490172853725
wstatic_raw,V13 min3,static negative-control D2MA-B r5,0.010971918193329,0.012324502681054,0.001352584487725,12.328,0.008702710654010,0.010820694444442,0.002117983790432,0.782027636643150,0.796517809496875,0.014490172853725
