case,frame_id,current_kf,local_kf,fixed_kf,local_mp,delayed_mp,optimizer_points,optimizer_edges,delayed_ratio,segment
v13_min3,285,187,109,60,3809,1,3808,30748,0.000262536,150-299
v12,288,195,113,58,3904,1,3903,31414,0.000256148,150-299
v13_min3,289,191,114,58,3916,1,3915,31679,0.000255363,150-299
v12,292,199,122,51,4113,1,4112,32998,0.000243132,150-299
v13_min3,293,195,126,49,4108,1,4107,33387,0.000243427,150-299
v12,296,203,144,33,4240,1,4239,34436,0.000235849,150-299
v13_min3,297,199,148,30,4148,1,4147,34407,0.000241080,150-299
v13_min3,315,203,167,14,4239,1,4238,36029,0.000235905,300-549
v12,319,207,146,31,4512,1,4511,34981,0.000221631,300-549
v13_min3,320,207,155,24,4473,1,4472,35705,0.000223564,300-549
v12,325,211,141,39,4424,1,4423,34770,0.000226040,300-549
v13_min3,325,211,146,34,4375,1,4374,35405,0.000228571,300-549
v12,331,215,144,38,4473,1,4472,35597,0.000223564,300-549
v13_min3,331,215,146,33,4362,1,4361,35399,0.000229253,300-549
v12,349,219,144,35,4446,1,4445,35337,0.000224921,300-549
v12,366,223,137,38,4298,1,4297,34880,0.000232666,300-549
v13_min3,366,219,136,38,4209,1,4208,34527,0.000237586,300-549
v12,372,227,146,29,4400,1,4399,35309,0.000227273,300-549
v13_min3,372,223,143,31,4242,1,4241,34992,0.000235738,300-549
v13_min3,387,227,149,27,4210,1,4209,35265,0.000237530,300-549
v12,391,231,152,26,4289,1,4288,35451,0.000233155,300-549
v13_min3,392,231,146,29,4107,1,4106,34777,0.000243487,300-549
v12,396,235,150,27,4143,1,4142,34728,0.000241371,300-549
v12,410,239,137,43,4102,1,4101,35331,0.000243784,300-549
v13_min3,410,235,132,43,3926,1,3925,34143,0.000254712,300-549
v12,416,243,106,74,3637,1,3636,32536,0.000274952,300-549
v13_min3,416,239,113,64,3859,1,3858,33783,0.000259134,300-549
v13_min3,421,243,106,74,3344,1,3343,30825,0.000299043,300-549
v12,422,247,111,70,3530,1,3529,31072,0.000283286,300-549
v13_min3,425,247,105,79,3318,1,3317,31152,0.000301386,300-549
v12,426,251,102,82,3582,1,3581,32059,0.000279174,300-549
v13_min3,429,251,104,83,3643,1,3642,33274,0.000274499,300-549
v12,430,255,102,86,3470,1,3469,32184,0.000288184,300-549
v13_min3,433,255,104,85,3545,1,3544,32298,0.000282087,300-549
v12,434,259,79,113,2783,1,2782,28250,0.000359324,300-549
v13_min3,437,259,72,120,2560,1,2559,26479,0.000390625,300-549
v12,438,263,79,117,2621,1,2620,26741,0.000381534,300-549
v13_min3,444,263,75,121,2591,1,2590,27518,0.000385951,300-549
v12,447,267,76,124,2528,1,2527,26556,0.000395570,300-549
