case,matched,ate_se3,ate_sim3,scale,final_keyframes,final_mappoints,lm_v7_candidates,lm_v7_allowed,lm_score_created,lm_v7_probation_matured,lm_v7_probation_residual_rejected,lm_v7_probation_survived,lm_constraint_role_score_window_points,lm_constraint_role_score_lba_edges,lm_constraint_role_score_lba_inliers,lm_constraint_role_score_lba_outliers,lm_constraint_role_score_lba_local_edges,lm_constraint_role_score_lba_fixed_edges,lm_constraint_role_score_lba_chi2_mean,lm_constraint_role_score_ref_distance_mean,constraint_lba_edges_per_window_point,constraint_lba_inlier_rate,constraint_lba_fixed_edge_rate,constraint_obs_per_window_point,lm_v7_probation_lba_window_points,lm_v7_probation_lba_edge_points,lm_v7_probation_lba_edges,lm_v7_probation_lba_inliers,lm_v7_probation_lba_chi2_mean,lm_v7_probation_pose_use_edges,lm_v7_probation_pose_use_inliers,lm_v7_probation_pose_use_chi2_mean,probation_lba_edges_per_edge_point,probation_lba_inlier_rate,probation_pose_inlier_rate,trajectory_sha256,keyframe_sha256,valid_protocol
wrpy_v7_constraint_role_r1,906,0.4074728171533456,0.14712148351424462,0.22124625644533052,380,6813,58.0,57.0,28.0,10.0,4.0,35.0,464.0,5109.0,4860.0,249.0,3556.0,1553.0,5.109724559600706,2.142882213362068,11.010775862068966,0.9512624779800353,0.3039733803092582,20.463362068965516,16.0,16.0,64.0,62.0,1.63190615625,137.0,126.0,4.004254715328466,4.0,0.96875,0.9197080291970803,34f31e36819583e86161cd21e4d436960dc430a4a772a95f3a0c37dc3d4a5281,1f2ba48939e26772284a5d1bab30ee7a1fea2c14a797c3dcf88f33cdbff6b03b,True
wrpy_v7_constraint_role_r2,906,0.4074728171533456,0.14712148351424462,0.22124625644533052,380,6813,58.0,57.0,28.0,10.0,4.0,35.0,464.0,5109.0,4860.0,249.0,3556.0,1553.0,5.109724559600706,2.142882213362068,11.010775862068966,0.9512624779800353,0.3039733803092582,20.463362068965516,16.0,16.0,64.0,62.0,1.63190615625,137.0,126.0,4.004254715328466,4.0,0.96875,0.9197080291970803,34f31e36819583e86161cd21e4d436960dc430a4a772a95f3a0c37dc3d4a5281,1f2ba48939e26772284a5d1bab30ee7a1fea2c14a797c3dcf88f33cdbff6b03b,True
wxyz_v7_constraint_role_r1,857,0.018134315220717196,0.015641058755402188,0.9703470005807162,183,3018,57.0,56.0,23.0,206.0,4.0,30.0,343.0,13150.0,13055.0,95.0,12575.0,575.0,1.9496899106463874,3.032194434402332,38.33819241982507,0.9927756653992396,0.043726235741444866,75.55102040816327,214.0,214.0,263059.0,261461.0,1.6630311287581874,144164.0,141175.0,2.413356942121473,1229.247663551402,0.993925317134179,0.9792666685164119,692339a31e89001176c63dda91553fc967742ceb34ee23004c014c42a9fdd043,8322b08ffb9ec9edf0b147c5518549b2358ace8a8a1f0e762aa7b3b133a4587d,True
wxyz_v7_constraint_role_r2,857,0.018134315220717196,0.015641058755402188,0.9703470005807162,183,3018,57.0,56.0,23.0,206.0,4.0,30.0,343.0,13150.0,13055.0,95.0,12575.0,575.0,1.9496899106463874,3.032194434402332,38.33819241982507,0.9927756653992396,0.043726235741444866,75.55102040816327,214.0,214.0,263059.0,261461.0,1.6630311287581874,144164.0,141175.0,2.413356942121473,1229.247663551402,0.993925317134179,0.9792666685164119,692339a31e89001176c63dda91553fc967742ceb34ee23004c014c42a9fdd043,8322b08ffb9ec9edf0b147c5518549b2358ace8a8a1f0e762aa7b3b133a4587d,True
