frame_id,timestamp,promoted_pairs,support_num_kfs,support_num_mps,hard_num_kfs,hard_num_mps,support_inliers,hard_inliers,support_mask_ratio,hard_mask_ratio,support_se3_error_m,hard_se3_error_m,support_sim3_error_m,hard_sim3_error_m,support_cum_est_gt_ratio,hard_cum_est_gt_ratio,support_next30_est_gt_ratio,hard_next30_est_gt_ratio,support_next60_est_gt_ratio,hard_next60_est_gt_ratio,support_mean_inliers_next30,hard_mean_inliers_next30,support_mean_mask_next30,hard_mean_mask_next30,lm_quality_raw_support_sum,lm_quality_found_support_sum,lm_quality_frame_support_sum,lm_quality_raw_depth_support_sum,lm_quality_reliable_support_sum,lm_quality_residual_support_sum,lm_quality_depth_support_sum,lm_promoted_geom_enter,lm_promoted_geom_parallax,lm_promoted_geom_triangulated,lm_promoted_geom_depth,lm_promoted_geom_reproj1,lm_promoted_geom_reproj2,lm_promoted_geom_scale,lm_promoted_geom_created,support_delta_mps_next30,hard_delta_mps_next30,support_delta_kfs_next30,hard_delta_kfs_next30,support_delta_mps_next60,hard_delta_mps_next60
38,1341846649.042101,1,24,1611,24,1584,193,192,0.299453,0.299453,0.120026,0.130886,0.178106,0.177807,1.740629,1.676068,2.344395,2.286469,1.879974,1.809631,201.193548,211.000000,0.303847,0.303847,3,3,3,3,2,2,2,1,1,1,1,1,1,1,1,44,-38,13,16,815,726
60,1341846649.810257,1,35,1814,35,1779,180,190,0.192793,0.192793,0.154022,0.151711,0.278265,0.273617,2.035613,1.956335,1.896402,1.843712,1.549089,1.530116,246.709677,247.612903,0.234929,0.234929,23,19,16,20,8,8,6,1,1,1,1,1,1,1,1,101,347,7,8,1096,1032
74,1341846650.282167,2,39,1640,40,1560,202,238,0.264961,0.264961,0.149865,0.157422,0.346398,0.342566,2.005471,1.940390,1.422261,1.356365,1.857037,1.818635,288.000000,280.645161,0.182437,0.182437,20,20,14,19,10,10,9,2,2,2,2,0,0,0,0,767,831,8,7,1329,1264
110,1341846651.522099,1,50,2522,52,2552,267,285,0.164134,0.164134,0.060036,0.062996,0.121159,0.119777,1.709805,1.649711,2.390083,2.466826,3.192775,3.542904,199.419355,199.290323,0.233276,0.233276,27,22,15,23,6,6,6,1,1,1,1,1,1,1,1,569,398,24,18,959,787
112,1341846651.590585,1,52,2704,50,2319,267,266,0.194954,0.194954,0.037355,0.039962,0.101668,0.101079,1.697811,1.643519,2.527570,2.529500,3.294640,3.646121,192.258065,192.258065,0.235891,0.235891,17,13,15,17,7,7,7,1,1,1,1,1,1,1,1,292,528,24,22,829,1059
117,1341846651.754212,1,55,2809,53,2727,234,230,0.170576,0.170576,0.044328,0.040088,0.067168,0.062215,1.712812,1.662729,2.743981,3.018779,3.438016,3.931781,163.354839,167.580645,0.241218,0.241218,4,4,3,4,2,2,2,1,1,1,1,0,0,0,0,348,281,26,24,740,652
241,1341846655.946240,2,158,4085,161,4024,136,149,0.162868,0.162868,0.040221,0.040036,0.019448,0.021550,2.927995,2.979023,8.834500,10.171040,8.291020,10.580806,181.064516,172.290323,0.160487,0.160487,34,27,27,32,7,9,7,2,2,2,2,2,2,2,2,-74,-151,22,18,397,275
584,1341846667.474109,1,236,5444,246,5087,170,156,0.116110,0.116110,0.152453,0.146575,0.108454,0.098475,5.381789,5.285356,8.447111,8.257929,9.467622,10.162990,231.161290,227.129032,0.156731,0.156731,25,23,12,24,7,7,7,1,1,1,1,1,0,0,0,244,408,11,11,-439,188
586,1341846667.542298,1,238,5557,247,5358,125,114,0.137168,0.137168,0.245879,0.248511,0.135312,0.132942,5.404650,5.326687,8.597422,7.997686,9.304045,9.715387,236.451613,235.322581,0.158243,0.158243,15,13,13,15,5,5,5,1,1,1,1,0,0,0,0,-20,174,8,12,-306,-411
