case,frame_id,culling_recent_points,culling_remaining_recent_points,culling_recent_near_boundary,culling_recent_clean_static,culling_recent_direct_dynamic,culling_near_prebad,culling_near_culled_found_ratio,culling_near_culled_low_obs,culling_near_survived,culling_near_matured,culling_clean_culled_found_ratio,culling_clean_culled_low_obs,culling_clean_survived,culling_clean_matured,lm_created_near_boundary_new_points,lm_created_clean_static_new_points,lm_created_direct_dynamic_new_points,lm_triangulated_points,lm_created_map_points,pose_near_chi2_mean_weighted,pose_near_inlier_chi2_mean_weighted,pose_clean_chi2_mean_weighted,pose_clean_inlier_chi2_mean_weighted,pose_admission_near_chi2_mean_weighted,ckf_created_near_share,lm_created_near_share,pose_near_outlier_rate,pose_clean_outlier_rate,pose_direct_dynamic_outlier_rate,pose_admission_near_outlier_rate,pose_near_to_clean_chi2_ratio,culling_near_removed_events,culling_clean_removed_events,culling_near_removed_event_rate,culling_clean_removed_event_rate,pose_all_edges,pose_all_inliers,pose_all_outliers,pose_near_edges,pose_near_inliers,pose_near_outliers,pose_clean_edges,pose_clean_inliers,pose_clean_outliers,pose_direct_dynamic_edges,pose_direct_dynamic_inliers,pose_direct_dynamic_outliers,pose_admission_near_edges,pose_admission_near_inliers,pose_admission_near_outliers,ckf_created_near_boundary_new_points,ckf_created_clean_static_new_points,ckf_created_direct_dynamic_new_points,ckf_existing_near_boundary_candidates,ckf_accepted_depth_candidates_pre_boundary
wrpy_supportq_lm_diag,10,,,,,,,,,,,,,,,,,,,,5.642085000000001,2.5753825,8.849166404205608,1.4397056193181819,,,,0.3333333333333333,0.17757009345794392,0.4431818181818182,,0.6375837838599773,0.0,0.0,,,695.0,501.0,194.0,3.0,2.0,1.0,428.0,352.0,76.0,264.0,147.0,117.0,0.0,0.0,0.0,,,,,
wrpy_supportq_lm_diag,11,,,,,,,,,,,,,,,,,,,,40.59806156756756,4.411820285714286,15.59628629431438,2.0530486124401914,,,,0.6216216216216216,0.3010033444816054,0.35,,2.6030595233666345,0.0,0.0,,,655.0,445.0,210.0,37.0,14.0,23.0,598.0,418.0,180.0,20.0,13.0,7.0,0.0,0.0,0.0,,,,,
wrpy_supportq_lm_diag,12,975.0,314.0,0.0,975.0,0.0,0.0,0.0,0.0,0.0,0.0,242.0,49.0,661.0,23.0,0.0,0.0,0.0,0.0,0.0,37.443808625,5.807561,17.865892861878454,1.9204092231182797,,0.0,,0.875,0.3149171270718232,0.5,,2.0958263275437043,0.0,291.0,,0.29846153846153844,585.0,387.0,198.0,16.0,2.0,14.0,543.0,372.0,171.0,26.0,13.0,13.0,0.0,0.0,0.0,0.0,290.0,0.0,14.0,665.0
wrpy_supportq_lm_diag,13,,,,,,,,,,,,,,,,,,,,30.839406517241375,1.3602068461538461,19.989780202380953,2.171315556701031,,,,0.5517241379310345,0.27827380952380953,0.72,,1.5427586599260426,0.0,0.0,,,726.0,505.0,221.0,29.0,13.0,16.0,672.0,485.0,187.0,25.0,7.0,18.0,0.0,0.0,0.0,,,,,
wrpy_supportq_lm_diag,14,970.0,231.0,0.0,970.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,62.0,739.0,95.0,0.0,0.0,0.0,0.0,0.0,39.216861,5.912466,12.05399930228471,2.0081679146341465,,0.0,,0.8571428571428571,0.27943760984182775,0.5789473684210527,,3.2534314974256597,0.0,136.0,,0.1402061855670103,595.0,419.0,176.0,7.0,1.0,6.0,569.0,410.0,159.0,19.0,8.0,11.0,0.0,0.0,0.0,0.0,307.0,0.0,5.0,734.0
wrpy_supportq_lm_diag,15,1003.0,294.0,0.0,1003.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,709.0,144.0,0.0,0.0,0.0,0.0,0.0,43.98494323076923,0.6447660000000001,18.188989194842407,2.1627449681528663,,0.0,,0.7692307692307693,0.32521489971346706,0.5882352941176471,,2.4182181186429763,0.0,150.0,,0.14955134596211367,728.0,481.0,247.0,13.0,3.0,10.0,698.0,471.0,227.0,17.0,7.0,10.0,0.0,0.0,0.0,0.0,262.0,0.0,7.0,704.0
wrpy_supportq_lm_diag,16,,,,,,,,,,,,,,,,,,,,19.25809263636364,2.488303315789474,16.250053750000003,2.0739041889081458,,,,0.42424242424242425,0.2327127659574468,0.6470588235294118,,1.1851094730295053,0.0,0.0,,,802.0,602.0,200.0,33.0,19.0,14.0,752.0,577.0,175.0,17.0,6.0,11.0,0.0,0.0,0.0,,,,,
wrpy_supportq_lm_diag,17,,,,,,,,,,,,,,,,,,,,14.711121606060606,2.375843142857143,17.043956412451358,2.2476551321321323,,,,0.36363636363636365,0.3521400778210117,0.25892857142857145,,0.863128328309587,0.0,0.0,,,659.0,437.0,222.0,33.0,21.0,12.0,514.0,333.0,181.0,112.0,83.0,29.0,0.0,0.0,0.0,,,,,
wrpy_supportq_lm_diag,18,997.0,389.0,0.0,997.0,0.0,0.0,0.0,0.0,0.0,0.0,115.0,51.0,608.0,102.0,0.0,0.0,0.0,0.0,0.0,17.49788960869565,1.8285033750000002,24.306139050397878,2.8814400344827584,,0.0,,0.4782608695652174,0.46153846153846156,0.3431372549019608,,0.7198958901870193,0.0,166.0,,0.16649949849548645,525.0,294.0,231.0,46.0,24.0,22.0,377.0,203.0,174.0,102.0,67.0,35.0,0.0,0.0,0.0,0.0,275.0,0.0,32.0,625.0
wrpy_supportq_lm_diag,19,,,,,,,,,,,,,,,,,,,,27.884648374999998,2.418347655172414,20.284697009578544,2.1978857823529414,,,,0.3958333333333333,0.3486590038314176,0.371900826446281,,1.374664278289822,0.0,0.0,,,691.0,445.0,246.0,48.0,29.0,19.0,522.0,340.0,182.0,121.0,76.0,45.0,0.0,0.0,0.0,,,,,
wrpy_supportq_lm_diag,20,880.0,282.0,0.0,880.0,0.0,0.0,0.0,0.0,0.0,0.0,117.0,50.0,598.0,115.0,0.0,0.0,0.0,0.0,0.0,20.138415724999994,2.8128671304347823,23.614702604938273,2.537846148148148,,0.0,,0.425,0.4444444444444444,0.3146067415730337,,0.8527914182069215,0.0,167.0,,0.18977272727272726,615.0,354.0,261.0,40.0,23.0,17.0,486.0,270.0,216.0,89.0,61.0,28.0,0.0,0.0,0.0,0.0,264.0,0.0,30.0,686.0
wrpy_supportq_lm_diag,21,,,,,,,,,,,,,,,,,,,,12.034292731707318,1.3200175,17.68069352272727,1.9801718189845474,,,,0.2682926829268293,0.31363636363636366,0.4485981308411215,,0.6806459665305602,0.0,0.0,,,808.0,542.0,266.0,41.0,30.0,11.0,660.0,453.0,207.0,107.0,59.0,48.0,0.0,0.0,0.0,,,,,
wrpy_supportq_lm_diag,22,805.0,210.0,0.0,805.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,58.0,595.0,63.0,0.0,0.0,0.0,0.0,0.0,15.495537967213115,2.897279,21.608271984063744,2.417952868965517,,0.0,,0.26229508196721313,0.42231075697211157,0.4215686274509804,,0.7171113904268321,0.0,147.0,,0.1826086956521739,665.0,394.0,271.0,61.0,45.0,16.0,502.0,290.0,212.0,102.0,59.0,43.0,0.0,0.0,0.0,0.0,203.0,0.0,39.0,618.0
wrpy_supportq_lm_diag,23,780.0,277.0,0.0,780.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,147.0,503.0,109.0,0.0,0.0,0.0,0.0,0.0,17.33716913888889,2.9014964500000002,16.686148859813084,2.276367283018868,,0.0,,0.4444444444444444,0.3395638629283489,0.32608695652173914,,1.0390156101653703,0.0,168.0,,0.2153846153846154,770.0,506.0,264.0,36.0,20.0,16.0,642.0,424.0,218.0,92.0,62.0,30.0,0.0,0.0,0.0,0.0,183.0,0.0,24.0,669.0
wrpy_supportq_lm_diag,24,,,,,,,,,,,,,,,,,,,,17.115685,2.4152824705882354,21.033188032967033,2.178070754985755,,,,0.24444444444444444,0.35714285714285715,0.3,,0.8137465881621554,0.0,0.0,,,691.0,455.0,236.0,45.0,34.0,11.0,546.0,351.0,195.0,100.0,70.0,30.0,0.0,0.0,0.0,,,,,
wrpy_supportq_lm_diag,25,753.0,265.0,0.0,753.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,92.0,488.0,86.0,0.0,0.0,0.0,0.0,0.0,8.428771096774193,2.7858720888888886,23.487593542168675,2.334815375,,0.0,,0.27419354838709675,0.42168674698795183,0.38016528925619836,,0.3588605653295864,0.0,103.0,,0.13678618857901725,598.0,360.0,238.0,62.0,45.0,17.0,415.0,240.0,175.0,121.0,75.0,46.0,0.0,0.0,0.0,0.0,241.0,0.0,33.0,636.0
wrpy_supportq_lm_diag,26,726.0,182.0,0.0,726.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,87.0,544.0,90.0,0.0,0.0,0.0,0.0,0.0,29.403841333333332,1.8331591379310346,25.853537735042735,2.453138617021277,,0.0,,0.3958333333333333,0.4376068376068376,0.2653061224489796,,1.137323705354196,0.0,92.0,,0.12672176308539945,731.0,430.0,301.0,48.0,29.0,19.0,585.0,329.0,256.0,98.0,72.0,26.0,0.0,0.0,0.0,0.0,232.0,0.0,27.0,689.0
wrpy_supportq_lm_diag,27,735.0,197.0,0.0,735.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,122.0,538.0,56.0,0.0,0.0,0.0,0.0,0.0,16.62870828846154,2.1597864,21.281401100161553,2.0595217704485487,,0.0,,0.4230769230769231,0.3877221324717286,0.34108527131782945,,0.7813728151731187,0.0,141.0,,0.19183673469387755,800.0,494.0,306.0,52.0,30.0,22.0,619.0,379.0,240.0,129.0,85.0,44.0,0.0,0.0,0.0,0.0,187.0,0.0,31.0,688.0
wrpy_supportq_lm_diag,28,724.0,239.0,0.0,724.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.0,485.0,122.0,0.0,0.0,0.0,0.0,0.0,21.035204970149255,3.012152634146341,22.69888886153846,2.1991664703832754,,0.0,,0.3880597014925373,0.4480769230769231,0.43478260869565216,,0.9267063730944033,0.0,117.0,,0.16160220994475138,725.0,406.0,319.0,67.0,41.0,26.0,520.0,287.0,233.0,138.0,78.0,60.0,0.0,0.0,0.0,0.0,183.0,0.0,36.0,620.0
wrpy_supportq_lm_diag,29,,,,,,,,,,,,,,,,,,,,13.37854812244898,2.4590545,24.9037266990991,2.6389666666666667,,,,0.3469387755102041,0.3675675675675676,0.34065934065934067,,0.5372106867416334,0.0,0.0,,,695.0,443.0,252.0,49.0,32.0,17.0,555.0,351.0,204.0,91.0,60.0,31.0,0.0,0.0,0.0,,,,,
wrpy_supportq_lm_diag,30,679.0,259.0,0.0,679.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,90.0,420.0,92.0,0.0,0.0,0.0,0.0,0.0,35.08339408333333,2.3280582,23.928982342465755,2.3260872068965517,,0.0,,0.5833333333333334,0.4324853228962818,0.3442622950819672,,1.4661465156030606,0.0,92.0,,0.13549337260677466,669.0,385.0,284.0,36.0,15.0,21.0,511.0,290.0,221.0,122.0,80.0,42.0,0.0,0.0,0.0,0.0,188.0,0.0,16.0,654.0
wrpy_supportq_lm_diag,31,578.0,165.0,0.0,578.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,83.0,413.0,71.0,0.0,0.0,0.0,0.0,0.0,32.92268933333333,2.5029161764705883,17.31360225,2.1496308058252427,,0.0,,0.40350877192982454,0.2847222222222222,0.4148148148148148,,1.901550518369644,0.0,94.0,,0.16262975778546712,768.0,525.0,243.0,57.0,34.0,23.0,576.0,412.0,164.0,135.0,79.0,56.0,0.0,0.0,0.0,0.0,154.0,0.0,30.0,640.0
wrpy_supportq_lm_diag,32,554.0,178.0,0.0,554.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,104.0,376.0,52.0,0.0,0.0,0.0,0.0,0.0,30.627631325,3.2838504210526316,19.715207334351142,1.9690171428571428,,0.0,,0.525,0.31603053435114503,0.3,,1.553502877529236,0.0,126.0,,0.22743682310469315,785.0,530.0,255.0,40.0,19.0,21.0,655.0,448.0,207.0,90.0,63.0,27.0,0.0,0.0,0.0,0.0,138.0,0.0,21.0,660.0
wrpy_supportq_lm_diag,33,511.0,182.0,0.0,511.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,329.0,86.0,0.0,0.0,0.0,0.0,0.0,24.300503568965517,1.3483638620689655,20.35247016431925,2.2065908231132076,,0.0,,0.5,0.3364632237871675,0.3711340206185567,,1.193983009078069,0.0,96.0,,0.18786692759295498,794.0,514.0,280.0,58.0,29.0,29.0,639.0,424.0,215.0,97.0,61.0,36.0,0.0,0.0,0.0,0.0,133.0,0.0,27.0,677.0
wrpy_supportq_lm_diag,34,507.0,183.0,0.0,507.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,324.0,53.0,0.0,0.0,0.0,0.0,0.0,33.749790631578946,1.5345607368421053,26.062638635080642,2.157303060810811,,0.0,,0.5,0.4032258064516129,0.5670103092783505,,1.2949491071925197,0.0,63.0,,0.1242603550295858,669.0,376.0,293.0,76.0,38.0,38.0,496.0,296.0,200.0,97.0,42.0,55.0,0.0,0.0,0.0,0.0,164.0,0.0,43.0,670.0
wrpy_supportq_lm_diag,35,538.0,113.0,0.0,538.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,425.0,53.0,0.0,0.0,0.0,0.0,0.0,30.369957714285714,3.283134,27.845654865517236,2.70399119858156,,0.0,,0.7142857142857143,0.5137931034482759,0.5809859154929577,,1.0906533841979942,0.0,60.0,,0.11152416356877323,581.0,262.0,319.0,7.0,2.0,5.0,290.0,141.0,149.0,284.0,119.0,165.0,0.0,0.0,0.0,0.0,210.0,0.0,5.0,531.0
wrpy_supportq_lm_diag,36,568.0,140.0,0.0,568.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,428.0,52.0,0.0,13.0,0.0,13.0,13.0,78.19842766666667,7.735695,30.221055065671642,2.5344990342465756,,0.0,0.0,0.9333333333333333,0.564179104477612,0.5752212389380531,,2.5875479031667874,0.0,88.0,,0.15492957746478872,576.0,243.0,333.0,15.0,1.0,14.0,335.0,146.0,189.0,226.0,96.0,130.0,0.0,0.0,0.0,0.0,142.0,0.0,10.0,525.0
wrpy_supportq_lm_diag,37,525.0,219.0,0.0,525.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142.0,306.0,77.0,0.0,11.0,0.0,11.0,11.0,54.69762325000001,1.578093,22.124459594827588,1.8909685791245792,,0.0,0.0,0.875,0.3599137931034483,0.5882352941176471,,2.47226934585953,0.0,142.0,,0.2704761904761905,667.0,376.0,291.0,16.0,2.0,14.0,464.0,297.0,167.0,187.0,77.0,110.0,0.0,0.0,0.0,0.0,83.0,0.0,12.0,547.0
wrpy_supportq_lm_diag,38,379.0,200.0,0.0,379.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,179.0,50.0,0.0,9.0,0.0,9.0,9.0,28.54897544067797,2.8591262,28.37801056053812,2.8267186,,0.0,0.0,0.4915254237288136,0.43946188340807174,0.5244299674267101,,1.006024554814198,0.0,52.0,,0.13720316622691292,589.0,301.0,288.0,59.0,30.0,29.0,223.0,125.0,98.0,307.0,146.0,161.0,0.0,0.0,0.0,0.0,47.0,0.0,29.0,383.0
wrpy_supportq_lm_diag,39,242.0,96.0,0.0,242.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,146.0,67.0,0.0,21.0,0.0,21.0,21.0,40.587129830508474,2.53502668,20.91860875700935,1.9088627368421056,,0.0,0.0,0.576271186440678,0.2897196261682243,0.6014234875444839,,1.9402404003998905,0.0,29.0,,0.11983471074380166,554.0,289.0,265.0,59.0,25.0,34.0,214.0,152.0,62.0,281.0,112.0,169.0,0.0,0.0,0.0,0.0,46.0,0.0,36.0,405.0
wrpy_supportq_lm_diag,40,207.0,74.0,0.0,207.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,133.0,50.0,0.0,10.0,0.0,10.0,10.0,44.551919999999996,2.669197285714286,14.117449261904763,1.9031408984771574,,0.0,0.0,0.75,0.21825396825396826,0.5661764705882353,,3.155805214772129,0.0,24.0,,0.11594202898550725,552.0,322.0,230.0,28.0,7.0,21.0,252.0,197.0,55.0,272.0,118.0,154.0,0.0,0.0,0.0,0.0,34.0,0.0,17.0,389.0
wrpy_supportq_lm_diag,41,173.0,61.0,0.0,173.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,112.0,36.0,0.0,21.0,0.0,21.0,21.0,30.570313199999998,2.5920826666666668,13.605342205882355,1.73036345,,0.0,0.0,0.5714285714285714,0.21568627450980393,0.5877862595419847,,2.24693453037754,0.0,25.0,,0.14450867052023122,603.0,363.0,240.0,35.0,15.0,20.0,306.0,240.0,66.0,262.0,108.0,154.0,0.0,0.0,0.0,0.0,26.0,0.0,15.0,352.0
wrpy_supportq_lm_diag,42,,,,,,,,,,,,,,,,,,,,31.17572707142857,2.196807269230769,12.944492289915967,1.3417409567567569,,,,0.38095238095238093,0.22268907563025211,0.524822695035461,,2.4084163652919104,0.0,0.0,,,562.0,345.0,217.0,42.0,26.0,16.0,238.0,185.0,53.0,282.0,134.0,148.0,0.0,0.0,0.0,,,,,
wrpy_supportq_lm_diag,43,,,,,,,,,,,,,,,,,,,,37.32220078787879,2.6948513846153848,12.278378576271187,1.6675397083333332,,,,0.6060606060606061,0.1864406779661017,0.5,,3.039668516167641,0.0,0.0,,,555.0,348.0,207.0,33.0,13.0,20.0,236.0,192.0,44.0,286.0,143.0,143.0,0.0,0.0,0.0,,,,,
wrpy_supportq_lm_diag,44,,,,,,,,,,,,,,,,,,,,47.61959876595745,1.5157028000000001,13.262221684824901,1.5549272564102563,,,,0.574468085106383,0.24124513618677043,0.5488372093023256,,3.5906200256360865,0.0,0.0,,,519.0,312.0,207.0,47.0,20.0,27.0,257.0,195.0,62.0,215.0,97.0,118.0,0.0,0.0,0.0,,,,,
wrpy_supportq_lm_diag,45,216.0,123.0,0.0,216.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,3.0,93.0,27.0,0.0,29.0,0.0,29.0,29.0,33.810403666666666,2.5504614285714284,17.65285475,2.0055256666666668,,0.0,0.0,0.3333333333333333,0.26339285714285715,0.5765765765765766,,1.9152938233215038,0.0,44.0,,0.2037037037037037,467.0,273.0,194.0,21.0,14.0,7.0,224.0,165.0,59.0,222.0,94.0,128.0,0.0,0.0,0.0,0.0,70.0,0.0,8.0,407.0
wrpy_supportq_lm_diag,46,169.0,26.0,0.0,169.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,143.0,22.0,0.0,11.0,0.0,11.0,11.0,36.90135496153846,4.2612000000000005,11.89156889527027,1.5605757261410789,,0.0,0.0,0.46153846153846156,0.1858108108108108,0.549800796812749,,3.1031527703813357,0.0,4.0,,0.023668639053254437,573.0,368.0,205.0,26.0,14.0,12.0,296.0,241.0,55.0,251.0,113.0,138.0,0.0,0.0,0.0,0.0,36.0,0.0,13.0,399.0
wrpy_supportq_lm_diag,47,206.0,45.0,0.0,206.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,161.0,18.0,0.0,24.0,0.0,24.0,24.0,29.96718412244898,2.1747856923076925,17.698279994011976,1.6789725322580644,,0.0,0.0,0.46938775510204084,0.25748502994011974,0.5162790697674419,,1.693225789883992,0.0,27.0,,0.13106796116504854,598.0,378.0,220.0,49.0,26.0,23.0,334.0,248.0,86.0,215.0,104.0,111.0,0.0,0.0,0.0,0.0,42.0,0.0,22.0,409.0
wrpy_supportq_lm_diag,48,230.0,102.0,0.0,230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,128.0,79.0,0.0,17.0,0.0,17.0,17.0,14.300597875,2.53279552,11.06475835625,1.6837017176470588,,0.0,0.0,0.375,0.203125,0.5042735042735043,,1.2924455658737648,0.0,23.0,,0.1,594.0,396.0,198.0,40.0,25.0,15.0,320.0,255.0,65.0,234.0,116.0,118.0,0.0,0.0,0.0,0.0,38.0,0.0,16.0,406.0
wrpy_supportq_lm_diag,49,,,,,,,,,,,,,,,,,,,,27.734309909090907,2.6308700000000003,14.153668530674846,1.6327152890624999,,,,0.3939393939393939,0.2147239263803681,0.5791666666666667,,1.9595138779026173,0.0,0.0,,,599.0,377.0,222.0,33.0,20.0,13.0,326.0,256.0,70.0,240.0,101.0,139.0,0.0,0.0,0.0,,,,,
wrpy_supportq_lm_diag,50,,,,,,,,,,,,,,,,,,,,18.931458076923075,1.3579320000000001,10.256017051546392,1.45133445,,,,0.4230769230769231,0.17525773195876287,0.5380710659898477,,1.8458879291809103,0.0,0.0,,,514.0,346.0,168.0,26.0,15.0,11.0,291.0,240.0,51.0,197.0,91.0,106.0,0.0,0.0,0.0,,,,,
wrpy_supportq_lm_diag,51,,,,,,,,,,,,,,,,,,,,27.579527945945948,1.8761128695652172,11.85337491891892,1.3051758813559322,,,,0.3783783783783784,0.20270270270270271,0.5365853658536586,,2.326723666010669,0.0,0.0,,,538.0,354.0,184.0,37.0,23.0,14.0,296.0,236.0,60.0,205.0,95.0,110.0,0.0,0.0,0.0,,,,,
wrpy_supportq_lm_diag,52,,,,,,,,,,,,,,,,,,,,26.65605230769231,2.5737635,16.821214053333332,1.7606725188284518,,,,0.38461538461538464,0.20333333333333334,0.4657534246575342,,1.5846687535856,0.0,0.0,,,532.0,364.0,168.0,13.0,8.0,5.0,300.0,239.0,61.0,219.0,117.0,102.0,0.0,0.0,0.0,,,,,
wrpy_supportq_lm_diag,53,,,,,,,,,,,,,,,,,,,,30.122382878787878,2.3860174705882353,16.415466948051947,1.6008840655737706,,,,0.48484848484848486,0.2077922077922078,0.5380434782608695,,1.8350000626916407,0.0,0.0,,,525.0,346.0,179.0,33.0,17.0,16.0,308.0,244.0,64.0,184.0,85.0,99.0,0.0,0.0,0.0,,,,,
wrpy_supportq_lm_diag,54,,,,,,,,,,,,,,,,,,,,31.879365884615382,2.004481125,18.31510332638889,1.6032380000000002,,,,0.38461538461538464,0.21875,0.5027027027027027,,1.7406052980701856,0.0,0.0,,,499.0,333.0,166.0,26.0,16.0,10.0,288.0,225.0,63.0,185.0,92.0,93.0,0.0,0.0,0.0,,,,,
