case,method,dataset_id,n,protocol_valid_all,matched_poses_mean,matched_poses_std,matched_poses_min,matched_poses_max,coverage_mean,coverage_std,coverage_min,coverage_max,ate_se3_rmse_m_mean,ate_se3_rmse_m_std,ate_se3_rmse_m_min,ate_se3_rmse_m_max,ate_sim3_rmse_m_mean,ate_sim3_rmse_m_std,ate_sim3_rmse_m_min,ate_sim3_rmse_m_max,sim3_scale_mean,sim3_scale_std,sim3_scale_min,sim3_scale_max,rpet_rmse_m_mean,rpet_rmse_m_std,rpet_rmse_m_min,rpet_rmse_m_max,rper_rmse_deg_mean,rper_rmse_deg_std,rper_rmse_deg_min,rper_rmse_deg_max,estimated_poses_mean,estimated_poses_std,estimated_poses_min,estimated_poses_max,final_keyframes_mean,final_keyframes_std,final_keyframes_min,final_keyframes_max,final_mappoints_mean,final_mappoints_std,final_mappoints_min,final_mappoints_max,estimated_accum_path_m_mean,estimated_accum_path_m_std,estimated_accum_path_m_min,estimated_accum_path_m_max,ckf_direct_vetoed_candidates_mean,ckf_direct_vetoed_candidates_std,ckf_direct_vetoed_candidates_min,ckf_direct_vetoed_candidates_max,ckf_boundary_skipped_new_candidates_mean,ckf_boundary_skipped_new_candidates_std,ckf_boundary_skipped_new_candidates_min,ckf_boundary_skipped_new_candidates_max,lm_skipped_instance_pairs_mean,lm_skipped_instance_pairs_std,lm_skipped_instance_pairs_min,lm_skipped_instance_pairs_max,lm_skipped_boundary_pairs_mean,lm_skipped_boundary_pairs_std,lm_skipped_boundary_pairs_min,lm_skipped_boundary_pairs_max,camera_sha16_unique
d2ma_b_r5,d2ma_b_r5,external_wstatic_rawrgb_rawdepth_mask,3,1,740.0,0.0,740.0,740.0,0.29790660225442833,0.0,0.29790660225442833,0.29790660225442833,0.010971918193329332,0.0,0.010971918193329332,0.010971918193329332,0.00870271065401036,0.0,0.00870271065401036,0.00870271065401036,0.7820276366431497,0.0,0.7820276366431497,0.7820276366431497,0.010462353182265216,0.0,0.010462353182265216,0.010462353182265216,0.21977650851806008,0.0,0.21977650851806008,0.21977650851806008,743.0,0.0,743.0,743.0,141.0,0.0,141.0,141.0,1791.0,0.0,1791.0,1791.0,5.445086,0.0,5.445086,5.445086,86402.0,0.0,86402.0,86402.0,3916.0,0.0,3916.0,3916.0,675.0,0.0,675.0,675.0,117.0,0.0,117.0,117.0,44af41704fa4178f
raw,raw,external_wstatic_rawrgb_rawdepth_mask,3,1,740.0,0.0,740.0,740.0,0.29790660225442833,0.0,0.29790660225442833,0.29790660225442833,0.07334999840856724,0.0,0.07334999840856724,0.07334999840856724,0.014798310818255,0.0,0.014798310818255,0.014798310818255,0.22427552707341206,0.0,0.22427552707341206,0.22427552707341206,0.017894591614465213,0.0,0.017894591614465213,0.017894591614465213,0.34055685613412895,0.0,0.34055685613412895,0.34055685613412895,743.0,0.0,743.0,743.0,270.0,0.0,270.0,270.0,4430.0,0.0,4430.0,4430.0,5.987171,0.0,5.987171,5.987171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b942b53e9b32e183
