frame_id,timestamp,promoted_pairs,support_num_kfs,support_num_mps,hard_num_kfs,hard_num_mps,support_inliers,hard_inliers,support_mask_ratio,hard_mask_ratio,support_se3_error_m,hard_se3_error_m,support_sim3_error_m,hard_sim3_error_m,support_cum_est_gt_ratio,hard_cum_est_gt_ratio,support_next30_est_gt_ratio,hard_next30_est_gt_ratio,support_next60_est_gt_ratio,hard_next60_est_gt_ratio,support_mean_inliers_next30,hard_mean_inliers_next30,support_mean_mask_next30,hard_mean_mask_next30,lm_quality_raw_support_sum,lm_quality_found_support_sum,lm_quality_frame_support_sum,lm_quality_raw_depth_support_sum,lm_quality_reliable_support_sum,lm_quality_residual_support_sum,lm_quality_depth_support_sum,lm_promoted_geom_enter,lm_promoted_geom_parallax,lm_promoted_geom_triangulated,lm_promoted_geom_depth,lm_promoted_geom_reproj1,lm_promoted_geom_reproj2,lm_promoted_geom_scale,lm_promoted_geom_created,support_delta_mps_next30,hard_delta_mps_next30,support_delta_kfs_next30,hard_delta_kfs_next30,support_delta_mps_next60,hard_delta_mps_next60
83,1341846650.582069,1,44,2029,42,1607,253,232,0.100247,0.100247,0.179038,0.175293,0.362815,0.346664,2.110154,2.045045,1.129128,1.156029,1.766564,1.915844,317.387097,301.580645,0.142619,0.142619,9,8,5,7,3,3,2,1,1,1,1,0,0,0,0,679,712,11,8,924,1275
87,1341846650.718110,1,46,2357,43,1889,375,335,0.114674,0.114674,0.175407,0.157373,0.335442,0.316055,2.017537,1.970110,1.250594,1.267347,1.921386,2.088315,305.806452,297.677419,0.150427,0.150427,9,7,9,7,3,3,2,1,1,1,1,0,0,0,0,349,838,11,10,703,1119
93,1341846650.918288,1,46,2542,43,2111,347,330,0.138158,0.138158,0.165037,0.150361,0.284777,0.266988,1.888977,1.854967,1.473732,1.472691,2.182695,2.516672,284.032258,279.354839,0.178476,0.178476,11,10,10,11,1,1,1,1,1,1,1,1,1,1,1,277,578,16,14,603,1034
96,1341846651.018106,2,48,2507,43,2111,338,271,0.150433,0.150433,0.163701,0.150682,0.260019,0.243374,1.832804,1.801471,1.674538,1.689205,2.304268,2.690165,268.129032,265.580645,0.195268,0.195268,11,9,11,11,2,2,2,2,2,2,2,1,1,1,1,147,582,17,17,646,1130
104,1341846651.286406,1,51,2626,47,2391,398,384,0.146969,0.146969,0.144049,0.136347,0.196114,0.183357,1.729918,1.700617,2.216375,2.169788,2.719053,3.090342,218.967742,223.161290,0.227712,0.227712,8,6,6,0,1,1,0,1,1,1,1,0,0,0,0,361,433,20,19,749,991
117,1341846651.754212,1,57,2706,53,2727,217,230,0.170576,0.170576,0.063821,0.040088,0.068724,0.062215,1.682085,1.662729,2.681645,3.018779,3.521848,3.931781,155.645161,167.580645,0.241218,0.241218,6,6,5,6,2,2,2,1,1,1,1,1,1,1,1,354,281,23,24,703,652
129,1341846652.158232,1,67,2772,62,2629,151,149,0.279867,0.279867,0.349115,0.320333,0.042750,0.040618,1.830946,1.811172,3.316920,4.349645,3.892560,4.442426,119.612903,134.612903,0.173277,0.173277,7,5,5,6,1,1,1,1,1,1,1,1,1,1,1,470,640,25,27,689,852
139,1341846652.494100,1,72,2923,69,2914,129,251,0.179945,0.179945,0.492023,0.398784,0.075053,0.050706,1.895883,1.913395,5.174034,6.157283,5.117550,4.576116,110.387097,123.967742,0.130151,0.130151,2,2,1,2,1,1,1,1,1,1,1,1,0,0,0,487,468,30,30,665,564
140,1341846652.526469,1,73,2947,70,2950,199,246,0.181074,0.181074,0.482723,0.402714,0.075190,0.056502,1.883707,1.910827,5.783098,6.835189,5.521924,4.706482,108.903226,118.741935,0.127755,0.127755,2,2,2,0,2,2,0,1,1,1,1,1,1,1,1,476,389,30,30,608,607
141,1341846652.562089,1,74,3027,71,2948,182,184,0.198812,0.198812,0.479723,0.398472,0.080206,0.063333,1.890322,1.920180,5.929795,7.080107,5.518644,4.727129,105.709677,113.741935,0.125556,0.125556,4,2,4,2,1,1,1,1,1,1,1,1,0,0,0,354,405,30,30,558,630
159,1341846653.162620,1,92,3242,89,3269,125,142,0.044525,0.044525,0.514209,0.497778,0.102954,0.087998,2.096085,2.264106,5.608863,4.719059,4.821495,3.656542,115.806452,111.516129,0.089571,0.089571,2,2,2,0,1,1,0,1,1,1,1,1,1,1,1,219,212,29,29,846,453
160,1341846653.198437,1,93,3328,90,3347,148,153,0.048480,0.048480,0.542847,0.518988,0.103432,0.093695,2.116236,2.283808,5.473247,4.313660,5.087258,3.863535,117.935484,112.419355,0.091218,0.091218,3,3,3,0,2,2,0,1,0,0,0,0,0,0,0,236,70,29,28,790,495
162,1341846653.262357,1,95,3401,92,3255,146,142,0.103190,0.103190,0.547046,0.549558,0.110696,0.094214,2.139588,2.304404,4.982436,3.651166,5.608682,4.243136,120.548387,113.741935,0.091919,0.091919,3,3,3,0,2,2,0,1,1,1,1,1,1,1,1,72,252,26,28,652,743
187,1341846654.102438,5,119,3475,116,3394,106,101,0.094850,0.094850,0.612181,0.596817,0.102565,0.092897,2.281488,2.411322,4.248377,3.191837,6.172132,5.318320,170.870968,168.193548,0.070798,0.070798,17,17,15,0,5,5,0,5,2,2,2,2,2,2,2,417,461,26,26,685,485
192,1341846654.270041,1,121,3473,120,3507,168,166,0.087132,0.087132,0.638724,0.616831,0.099500,0.088143,2.311703,2.385941,5.832496,4.454700,6.210448,5.576129,174.064516,170.967742,0.083611,0.083611,4,4,3,0,1,1,0,1,1,1,1,1,1,1,1,580,491,29,26,621,311
227,1341846655.442262,1,154,4058,150,3994,172,189,0.139554,0.139554,0.186088,0.113055,0.020241,0.003310,2.896947,2.785633,7.283559,8.315542,7.130282,8.635206,194.193548,184.548387,0.169118,0.169118,22,14,15,22,2,2,2,1,1,1,1,1,1,1,1,80,-107,24,21,481,368
229,1341846655.510277,2,156,4208,152,3845,203,228,0.158405,0.158405,0.118423,0.042376,0.024491,0.025775,2.946201,2.822555,7.033057,8.543691,6.979880,8.658763,193.064516,182.387097,0.170101,0.170101,13,4,12,13,2,2,2,2,2,2,2,1,1,1,1,-142,82,23,21,303,651
239,1341846655.846257,2,164,4167,159,3902,175,151,0.146914,0.146914,0.058133,0.092534,0.031601,0.045653,3.028346,2.901787,7.902393,10.958236,7.727289,10.736758,185.903226,171.935484,0.160874,0.160874,12,8,10,12,2,3,2,2,2,2,2,2,2,2,2,-111,13,20,21,581,397
240,1341846655.910355,1,164,4069,160,3971,117,128,0.156003,0.156003,0.101400,0.050215,0.040465,0.022614,3.046136,2.963978,7.894231,10.135256,7.954490,10.700441,185.806452,172.516129,0.160670,0.160670,30,15,25,28,1,1,1,1,1,1,1,1,1,1,1,0,-172,21,19,796,328
676,1341846670.566977,1,270,5771,274,5752,160,153,0.115723,0.115723,0.129585,0.128081,0.091557,0.093217,5.574295,5.727779,7.658253,6.647125,7.979772,7.121663,106.322581,106.322581,0.167698,0.167698,5,3,5,0,3,3,0,1,1,1,1,1,0,0,0,-275,-290,21,24,24,-47
693,1341846671.132289,1,282,5436,288,5350,64,49,0.181361,0.181361,0.072751,0.078300,0.100519,0.092308,5.556912,5.682381,10.566716,9.976152,8.906116,8.168873,122.580645,143.451613,0.115921,0.115921,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,97,183,18,13,289,208
696,1341846671.232280,1,284,5408,291,5354,77,101,0.167611,0.167611,0.074528,0.079149,0.103130,0.098224,5.559380,5.700095,11.870028,10.381681,8.996730,7.814932,131.322581,153.032258,0.106641,0.106641,6,4,6,6,1,1,1,1,1,1,1,1,1,1,1,231,277,17,10,302,204
713,1341846671.804605,1,295,5544,299,5552,122,160,0.110322,0.110322,0.053127,0.030523,0.122033,0.117764,5.664527,5.776258,7.867138,6.932758,5.557316,4.885356,175.419355,191.548387,0.075081,0.075081,3,3,2,3,1,1,1,1,1,1,1,1,1,1,0,102,152,15,9,31,-51
871,1341846677.226206,1,359,6173,361,6042,227,259,0.000000,0.000000,0.745983,0.680008,0.211253,0.204788,5.526369,5.572209,4.371671,4.306529,4.441368,4.521338,292.258065,267.451613,0.008052,0.008052,2,1,2,0,1,1,0,1,1,1,1,1,1,1,1,-152,25,6,7,-117,-36
