case,frame_id,timestamp,is_keyframe_created,num_keyframes,num_mappoints,local_map_matches_before_pose,inlier_map_matches_after_pose,estimated_accum_path_m,estimated_frame_step_m,mask_ratio,ckf_accepted_depth_candidates,ckf_boundary_existing_supported_candidates,ckf_boundary_skipped_new_candidates,ckf_direct_vetoed_candidates,lm_delayed_rejected_boundary_pairs,lm_delayed_support_sum,lm_kept_pairs_after_boundary,lm_kept_pairs_after_delayed_boundary,lm_kept_static_pairs_after_instance,lm_promoted_geom_created,lm_promoted_geom_depth,lm_promoted_geom_enter,lm_promoted_geom_parallax,lm_promoted_geom_reproj1,lm_promoted_geom_reproj2,lm_promoted_geom_scale,lm_promoted_geom_triangulated,lm_quality_depth_support_sum,lm_quality_found_support_sum,lm_quality_frame_support_sum,lm_quality_raw_depth_support_sum,lm_quality_raw_support_sum,lm_quality_rejected_boundary_pairs,lm_quality_reliable_support_sum,lm_quality_residual_support_sum,lm_score_created,lm_score_geom_evaluated,lm_score_post_geom_rejected,lm_score_support_accepted,lm_score_support_candidates,lm_score_support_rejected,lm_skipped_boundary_pairs,lm_skipped_instance_pairs,lm_support_promoted_boundary_pairs
wrpy_score_v4,49,1341846649.416053,1,29,1573,368,187,0.495442,0.029144,0.366794,414,10,13,547,2,2,15,22,22,1,1,1,1,1,1,1,1,0,2,2,0,2,2,1,1,1,1,0,1,3,2,2,39,1
wrpy_score_v4,50,1341846649.448084,1,30,1632,375,198,0.510517,0.015076,0.324704,417,14,5,511,2,1,25,31,31,,,,,,,,,0,1,0,0,1,2,0,0,0,0,0,0,2,2,2,53,0
wrpy_score_v4,51,1341846649.484154,1,31,1656,406,237,0.526153,0.015636,0.348145,429,14,10,522,3,0,23,35,35,,,,,,,,,0,0,0,0,0,3,0,0,0,0,0,0,3,3,3,62,0
wrpy_score_v4,56,1341846649.678101,1,32,1576,365,199,0.589522,0.010487,0.322702,425,5,10,491,0,9,,44,44,1,1,1,1,1,1,1,1,0,5,9,3,9,0,1,1,1,1,0,1,1,0,,38,1
wrpy_score_v4,57,1341846649.710937,1,33,1633,378,198,0.600950,0.011428,0.335755,476,13,21,488,2,9,15,29,29,0,1,1,1,0,0,0,1,1,8,3,1,9,2,2,2,0,0,0,1,3,2,2,27,1
wrpy_score_v4,58,1341846649.746112,1,34,1679,403,226,0.625175,0.024225,0.348984,461,10,6,514,0,0,,22,22,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,34,0
wrpy_score_v4,59,1341846649.778019,1,35,1750,408,223,0.633726,0.008551,0.213070,605,27,52,332,1,3,8,14,14,1,1,1,1,1,1,1,1,0,3,3,0,3,1,1,1,1,1,0,1,2,1,1,26,1
wrpy_score_v4,60,1341846649.810257,1,36,1728,361,172,0.655490,0.021764,0.192793,646,20,35,312,1,9,5,20,20,1,1,1,1,1,1,1,1,3,9,4,9,9,1,3,3,1,1,0,1,2,1,1,33,1
wrpy_score_v4,61,1341846649.846059,1,37,1848,410,197,0.670311,0.014821,0.192565,651,21,26,299,0,0,,16,16,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,24,0
wrpy_score_v4,62,1341846649.878137,1,38,1884,468,270,0.685811,0.015500,0.209339,651,38,43,286,1,9,3,9,9,2,2,2,2,2,2,2,2,3,7,9,3,9,1,7,7,2,2,0,2,3,1,1,12,2
