segment,start,end,frames,risk_frames,risk_rate,support_low_frames,motion_pressure_frames,keyframe_pressure_frames,boundary_pressure_frames,created_keyframes,path_delta_m,mean_frame_step_m,max_frame_step_m,mean_step_ratio_proxy,max_step_ratio_proxy,mean_static_inlier_count,min_static_inlier_count,mean_static_inlier_grid_coverage,min_static_inlier_grid_coverage,mean_boundary_inlier_frac,max_boundary_inlier_frac,first_risk_frame,last_risk_frame
early,0,149,150,4,0.02666666666666667,67,19,147,4,87,2.409158,0.016061046666666665,0.069761,1.3032513066666667,4.284621,327.28,153.0,0.05608722,0.024414,0.09107278666666667,0.317857,6,48
target_early,150,299,150,0,0.0,94,23,150,0,120,3.084622,0.020647173333333334,0.084598,1.1683715733333333,4.587451,233.97333333333333,97.0,0.04479168,0.020508,0.020113306666666667,0.07767,-1,-1
mid,300,549,250,0,0.0,64,25,203,0,91,3.1670450000000008,0.012779136,0.047264,1.155437384,7.969371,365.964,143.0,0.064881508,0.028971,0.00479798,0.070175,-1,-1
target_late,550,599,50,0,0.0,29,14,50,0,29,0.872796000000001,0.01791372,0.067719,1.87914758,6.691233,369.64,113.0,0.0483333,0.017904,0.0261378,0.067164,-1,-1
late,600,905,306,0,0.0,97,42,306,0,208,4.732581,0.015484078431372549,0.061049,1.14726,5.444803,304.77777777777777,117.0,0.05697043137254902,0.023763,0.025344460784313724,0.150538,-1,-1
