sequence,unique_points,alive_points,matured_unique_points,maturity_rate,lba_edge_points,lba_point_rate,sum_lba_edges,lba_edges_per_unique_point,lba_inlier_rate_global,local_edge_rate_global,fixed_edge_rate_global,pose_use_points,sum_pose_use_edges,pose_inlier_rate_global,parallax_deg_mean_all,parallax_deg_median_all,baseline_over_ref_mean_all,baseline_over_ref_median_all,parallax_deg_mean_lba_points,baseline_over_ref_mean_lba_points
wrpy,38,5,9,0.23684210526315788,12,0.3157894736842105,3713,97.71052631578948,0.9361702127659575,0.8303258820360894,0.16967411796391058,29,541,0.25693160813308685,3.7819335411975614,2.7992895430133373,0.04655994688505536,0.027683347776332627,4.25177139937603,0.0789528573796494
wxyz,18,1,6,0.3333333333333333,6,0.3333333333333333,7213,400.72222222222223,0.9894634687370026,0.9676972133647581,0.03230278663524192,13,1801,0.9322598556357579,1.8347530831741306,1.5288738741973948,0.02973509838582909,0.03331632561400302,2.354258171301848,0.026341609103840785
