date,run_id,dataset_id,profile,maintenance_period,repeat_id,matched_poses,ate_se3_rmse_m,ate_sim3_rmse_m,sim3_scale,rpet_se3_rmse_m,rper_se3_rmse_deg,trajectory_sha256,keyframe_timeline_sha256,returncode,notes,run_dir
2026-05-12,fingerprint_frontend_boxfallback_obs_full,frontend_imagelevel_boxfallback_full_wxyz,hybrid_sequential_semantic_only,4,run_1,857,0.01816323346200155,0.016225267854078962,0.9735313118150726,0.011928140712189117,0.3615986124251387,f35366ee0b7e8068cecaaa264c91ec55c1c216a300c25783938d5d96dbadd76a,20f8e816628576e91990d527e13f921519c8dec67de0a01598edc2c9ce613868,0,full fingerprint with observability; strong frontend remains stable after pose optimization/g2o rebuild,/home/lj/dynamic-slam-public/runs/fingerprint_full_20260512_1810/frontend_boxfallback_nomask_hybrid
2026-05-12,fingerprint_backend_maskonly_obs_full,backend_maskonly_full_wxyz,hybrid_sequential_semantic_only,4,run_1,857,0.38193773807567244,0.271534133471007,0.3247590067726269,0.012486354076118337,0.5190985919490564,e952acdd62214d0bb0cca48b00586898b126fc77f6c8b6745be17a84a5761629,3ca3de61b92a3448e9f7e66b6c071b8856d0feb4db6f70dc1d5b456497e9b099,0,full fingerprint with observability; matched intact but scale/ATE poor; final map much denser than frontend,/home/lj/dynamic-slam-public/runs/fingerprint_full_20260512_1810/backend_maskonly_hybrid
2026-05-12,fingerprint_backend_soft_obs_full,backend_maskonly_full_wxyz,hybrid_sequential_geom_dynamic_reject,4,run_1,773,0.5395822571478048,0.2862578138498388,0.17638205753554248,0.027629219960073836,0.6818080131471287,62499523f91f22689146789c167a4602778976a4e4ad2478cb8910d67ebfc2c6,3dda4f15f015d37a91992073773c300adb3538d5984dd27728477af01b51f2b1,0,full fingerprint with observability; soft route loses pose support from frame 770 and remains negative,/home/lj/dynamic-slam-public/runs/fingerprint_full_20260512_1810/backend_geom_soft_cap010_w025_hybrid
2026-05-12,early_intervention_A_rawrgb_rawdepth_full,ablation_ei_A_raw_rgb_raw_depth_wxyz,hybrid_sequential_semantic_only,4,run_1,857,0.5935036561807964,0.2549452049379983,0.22928277805970596,0.019608125201782983,0.49888639720862643,602c91e5b1b20b00c881faa0c5fb9c7ece6b115316d24dbec8ade1e854d8a1d7,d58ca347e35caf3c3c9b25524ba36b8e758cb70f26525a93d72a33695dab67ac,0,raw RGB + raw depth; no backend mask,/home/lj/dynamic-slam-public/runs/early_intervention_ablation_20260512_2026/A_raw_rgb_raw_depth
2026-05-12,early_intervention_B_filteredrgb_rawdepth_full,ablation_ei_B_filtered_rgb_raw_depth_wxyz,hybrid_sequential_semantic_only,4,run_1,857,0.35795820780978815,0.2677403616302428,0.36551821291601344,0.01692783567533715,0.4898870979852745,25fdb2d855c2b461d931e5b2cb835213d8d09f43043f17de0780f6983d9a6884,54476ca0b330e26cf73c32c5d6d7b7fdb84d020f2366631c24e4e79a615ac587,0,filtered RGB + raw depth; no backend mask,/home/lj/dynamic-slam-public/runs/early_intervention_ablation_20260512_2026/B_filtered_rgb_raw_depth
2026-05-12,early_intervention_C_rawrgb_filtereddepth_full,ablation_ei_C_raw_rgb_filtered_depth_wxyz,hybrid_sequential_semantic_only,4,run_1,857,0.01845725282347438,0.01602550621679512,0.9704061794680474,0.012053402539366632,0.37180081910363877,505c166a38e8ec7196827acd4980c477bf0fb979f18c21b69299b42f4ad68d91,58c810bdb6ab218f5634fdfc8e8e6407d5e7b078d052fcbe70485089183355c1,0,raw RGB + filtered depth; no backend mask,/home/lj/dynamic-slam-public/runs/early_intervention_ablation_20260512_2026/C_raw_rgb_filtered_depth
2026-05-12,early_intervention_D_filteredrgb_filtereddepth_full,ablation_ei_D_filtered_rgb_filtered_depth_wxyz,hybrid_sequential_semantic_only,4,run_1,857,0.018361835183392555,0.016257685602947738,0.9723604177513177,0.012352533752891604,0.3687234360891869,cc72d150ed539e16a4662710f99c7fdeb70068f6e61177891db12adfbee81044,93c11a0fa972efc1c288dbf70b88b483aedb88720f507943d9fe0b8b4065a640,0,filtered RGB + filtered depth; no backend mask,/home/lj/dynamic-slam-public/runs/early_intervention_ablation_20260512_2026/D_filtered_rgb_filtered_depth
2026-05-12,early_intervention_C_rawrgb_filtereddepth_full_r2,ablation_ei_C_raw_rgb_filtered_depth_wxyz,hybrid_sequential_semantic_only,4,run_2,857,0.01845725282347438,0.01602550621679512,0.9704061794680474,0.012053402539366632,0.37180081910363877,505c166a38e8ec7196827acd4980c477bf0fb979f18c21b69299b42f4ad68d91,58c810bdb6ab218f5634fdfc8e8e6407d5e7b078d052fcbe70485089183355c1,0,raw RGB + filtered depth repeat; no backend mask,/home/lj/dynamic-slam-public/runs/early_intervention_ablation_20260512_2026/C_raw_rgb_filtered_depth_r2
2026-05-12,early_intervention_D_filteredrgb_filtereddepth_full_r2,ablation_ei_D_filtered_rgb_filtered_depth_wxyz,hybrid_sequential_semantic_only,4,run_2,857,0.018361835183392555,0.016257685602947738,0.9723604177513177,0.012352533752891604,0.3687234360891869,cc72d150ed539e16a4662710f99c7fdeb70068f6e61177891db12adfbee81044,93c11a0fa972efc1c288dbf70b88b483aedb88720f507943d9fe0b8b4065a640,0,filtered RGB + filtered depth repeat; no backend mask,/home/lj/dynamic-slam-public/runs/early_intervention_ablation_20260512_2026/D_filtered_rgb_filtered_depth_r2
2026-05-12,early_intervention_A_rawrgb_rawdepth_full_r2,ablation_ei_A_raw_rgb_raw_depth_wxyz,hybrid_sequential_semantic_only,4,run_2,857,0.5935036561807964,0.2549452049379983,0.22928277805970596,0.019608125201782983,0.49888639720862643,602c91e5b1b20b00c881faa0c5fb9c7ece6b115316d24dbec8ade1e854d8a1d7,d58ca347e35caf3c3c9b25524ba36b8e758cb70f26525a93d72a33695dab67ac,0,raw RGB + raw depth repeat; no backend mask,/home/lj/dynamic-slam-public/runs/early_intervention_ablation_20260512_2026/A_raw_rgb_raw_depth_r2
