case,matched,coverage,ate_se3,ate_sim3,scale,rpet,rper,final_keyframes,final_mappoints,estimated_accum_path_m,keyframe_created_count,run_dir,ckf_direct_vetoed_candidates,ckf_accepted_depth_candidates,ckf_boundary_skipped_new_candidates,ckf_boundary_existing_supported_candidates,ckf_boundary_budget,ckf_delayed_rejected_new_candidates,ckf_support_promoted_new_candidates,ckf_delayed_existing_supported_candidates,ckf_delayed_support_sum,ckf_quality_rejected_new_candidates,ckf_quality_raw_support_sum,ckf_quality_found_support_sum,ckf_quality_frame_support_sum,ckf_quality_raw_depth_support_sum,ckf_quality_reliable_support_sum,ckf_quality_residual_support_sum,ckf_quality_depth_support_sum,ckf_control_skipped_nonboundary_new_candidates,ckf_matched_boundary_budget,ckf_matched_skipped_nonboundary_new_candidates,ckf_matched_exact_skipped_new_candidates,ckf_matched_fallback_skipped_new_candidates,lm_skipped_instance_pairs,lm_skipped_boundary_pairs,lm_boundary_budget,lm_delayed_rejected_boundary_pairs,lm_support_promoted_boundary_pairs,lm_delayed_support_sum,lm_quality_rejected_boundary_pairs,lm_quality_raw_support_sum,lm_quality_found_support_sum,lm_quality_frame_support_sum,lm_quality_raw_depth_support_sum,lm_quality_reliable_support_sum,lm_quality_residual_support_sum,lm_quality_depth_support_sum,lm_promoted_geom_enter,lm_promoted_geom_parallax,lm_promoted_geom_triangulated,lm_promoted_geom_depth,lm_promoted_geom_reproj1,lm_promoted_geom_reproj2,lm_promoted_geom_scale,lm_promoted_geom_created,lm_score_support_candidates,lm_score_support_accepted,lm_score_support_rejected,lm_score_geom_evaluated,lm_score_post_geom_rejected,lm_score_created,lm_state_candidates,lm_state_allowed,lm_state_rejected,lm_state_tracking_pressure,lm_state_keyframe_pressure,lm_state_scale_pressure,lm_state_lba_pressure,lm_v5_support_candidates,lm_v5_support_accepted,lm_v5_reject_support,lm_v5_geom_candidates,lm_v5_reject_parallax,lm_v5_reject_triangulate,lm_v5_reject_depth,lm_v5_reject_reproj1,lm_v5_reject_reproj2,lm_v5_reject_scale,lm_v5_reject_score,lm_v5_created,lm_v5_lifecycle_score_recent,lm_v5_lifecycle_score_prebad,lm_v5_lifecycle_score_culled_found_ratio,lm_v5_lifecycle_score_culled_low_obs,lm_v5_lifecycle_score_survived,lm_v5_lifecycle_score_matured,lm_v5_lifecycle_pose_use_edges,lm_v5_lifecycle_pose_use_inliers,lm_kept_pairs_after_delayed_boundary,lm_control_skipped_nonboundary_pairs,lm_matched_boundary_budget,lm_matched_skipped_nonboundary_pairs,lm_matched_exact_skipped_pairs,lm_matched_fallback_skipped_pairs
wrpy_v4_near_diag,906,0.2958850424559112,0.3015824250777233,0.12767513682838003,0.3230345134316005,0.026225436846207054,0.6099401363596839,365,6375,16.513716,579,/home/lj/dynamic-slam-public/runs/near_boundary_usefulness_v6_20260514_001/wrpy_v4_near_diag_r1,103024,269911,8145,5336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4907,431,0,431,52,651,431,651,474,455,380,70,70,38,52,49,49,48,40,36,36,36,483,52,431,36,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14366,0,0,0,0,0
wrpy_v6_need2_near_diag,906,0.2958850424559112,0.3390262483136802,0.1371955892897309,0.27958555508554933,0.02594970627761765,0.6324409126292404,372,6461,16.504045,573,/home/lj/dynamic-slam-public/runs/near_boundary_usefulness_v6_20260514_001/wrpy_v6_need2_near_diag_r1,104422,267454,7980,5660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5162,618,0,618,14,781,618,781,597,617,465,104,109,48,14,8,8,8,7,6,6,6,632,14,618,6,0,6,76,14,62,10,51,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15247,0,0,0,0,0
wxyz_v4_near_diag,857,0.29715672676837723,0.017149325738502287,0.01578251750028861,0.9781458393520419,0.012060571613485581,0.3703007621755948,173,3160,10.690089,428,/home/lj/dynamic-slam-public/runs/near_boundary_usefulness_v6_20260514_001/wxyz_v4_near_diag_r1,65450,165360,6346,3741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2622,379,0,379,24,456,379,456,268,312,307,46,50,24,24,20,20,20,20,11,10,10,403,24,379,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45114,0,0,0,0,0
wxyz_v6_need2_near_diag,857,0.29715672676837723,0.017700832960627095,0.015560499929759553,0.9726707137461479,0.011554045997695704,0.3681452412491287,181,3163,10.680680,423,/home/lj/dynamic-slam-public/runs/near_boundary_usefulness_v6_20260514_001/wxyz_v6_need2_near_diag_r1,67273,163764,6314,3752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2414,538,0,538,1,677,538,677,378,533,505,65,84,32,1,1,1,1,1,1,1,1,539,1,538,1,0,1,48,1,47,2,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44558,0,0,0,0,0
