match_index,baseline_se3_error_m,probe_se3_error_m,se3_delta_probe_minus_baseline_m,baseline_sim3_error_m,probe_sim3_error_m,sim3_delta_probe_minus_baseline_m
746,0.062912594,0.063484905,0.000572311,0.097284874,0.091921136,-0.005363738
747,0.067273415,0.064820734,-0.002452682,0.093154397,0.090340442,-0.002813954
748,0.067506467,0.063802614,-0.003703853,0.091529385,0.089129022,-0.002400363
749,0.066407139,0.066330089,-0.000077049,0.091314825,0.088183000,-0.003131826
750,0.070660333,0.073559773,0.002899440,0.092041907,0.086035538,-0.006006369
751,0.066978037,0.076519426,0.009541390,0.092087314,0.084502154,-0.007585160
752,0.071719126,0.079843071,0.008123945,0.091612127,0.084183993,-0.007428135
753,0.074908891,0.080039706,0.005130816,0.090570908,0.083930038,-0.006640870
754,0.077531121,0.070066317,-0.007464804,0.087270795,0.084788917,-0.002481877
755,0.083091111,0.074137492,-0.008953619,0.087630864,0.083669982,-0.003960882
756,0.069833184,0.073032956,0.003199772,0.090073935,0.083911011,-0.006162924
757,0.070210407,0.072969231,0.002758824,0.091024456,0.083431581,-0.007592875
758,0.073232806,0.071077717,-0.002155089,0.089062878,0.083011952,-0.006050926
759,0.067541485,0.067620322,0.000078837,0.087599445,0.081856553,-0.005742892
760,0.061208523,0.066757665,0.005549142,0.087515649,0.080188562,-0.007327087
761,0.072167109,0.069157861,-0.003009248,0.087266878,0.079401758,-0.007865120
762,0.066837017,0.068364228,0.001527211,0.084373297,0.078132946,-0.006240352
763,0.061575411,0.067018429,0.005443019,0.080537214,0.075706309,-0.004830904
764,0.060858186,0.074603987,0.013745801,0.078890275,0.073136618,-0.005753657
765,0.066729155,0.077281791,0.010552636,0.077071217,0.071516752,-0.005554465
766,0.069280238,0.076454722,0.007174484,0.075636709,0.071196276,-0.004440432
767,0.071853515,0.085861124,0.014007609,0.074714819,0.069957556,-0.004757263
768,0.078797016,0.079819909,0.001022893,0.072720676,0.070671230,-0.002049445
769,0.077322864,0.077331012,0.000008149,0.071903459,0.069751830,-0.002151629
770,0.070881065,0.072401076,0.001520011,0.073632856,0.072319337,-0.001313519
771,0.073345000,0.071868263,-0.001476737,0.073321934,0.071785601,-0.001536334
772,0.076885117,0.071266567,-0.005618550,0.074174271,0.072968671,-0.001205600
773,0.070068465,0.064976305,-0.005092160,0.081397233,0.077751797,-0.003645436
774,0.067109313,0.066364680,-0.000744633,0.080500421,0.077247026,-0.003253395
775,0.071365664,0.072636454,0.001270789,0.078022673,0.074043285,-0.003979388
776,0.063674219,0.064431684,0.000757465,0.081110490,0.076492557,-0.004617932
777,0.074401731,0.073561501,-0.000840230,0.075280746,0.072832585,-0.002448161
778,0.067501375,0.067215270,-0.000286106,0.076493120,0.074355371,-0.002137748
779,0.058168589,0.061071460,0.002902870,0.074978098,0.074520067,-0.000458031
780,0.075901347,0.068091092,-0.007810255,0.073765115,0.073881336,0.000116221
781,0.071746465,0.067798569,-0.003947896,0.078947873,0.076873262,-0.002074610
782,0.067036120,0.068893859,0.001857739,0.075876430,0.074062475,-0.001813955
783,0.065826547,0.073995385,0.008168838,0.077328276,0.073172940,-0.004155336
784,0.071638231,0.071094246,-0.000543985,0.078777027,0.076664208,-0.002112819
785,0.078470149,0.083829878,0.005359729,0.073377231,0.070271339,-0.003105892
786,0.067502910,0.066118846,-0.001384064,0.076133822,0.075259573,-0.000874249
787,0.072155849,0.069201725,-0.002954124,0.078087970,0.076857237,-0.001230733
788,0.076462697,0.077136914,0.000674217,0.075372559,0.074758330,-0.000614229
789,0.075675339,0.075332974,-0.000342365,0.077403469,0.074760737,-0.002642731
790,0.069215688,0.064521956,-0.004693732,0.078736559,0.077781199,-0.000955360
791,0.076515747,0.074375247,-0.002140500,0.076685825,0.073360107,-0.003325718
792,0.077643661,0.074081186,-0.003562476,0.078353567,0.077491564,-0.000862003
