match_index,baseline_se3_error_m,probe_se3_error_m,se3_delta_probe_minus_baseline_m,baseline_sim3_error_m,probe_sim3_error_m,sim3_delta_probe_minus_baseline_m
334,0.123114039,0.031254590,-0.091859450,0.101822962,0.080759604,-0.021063359
335,0.117618183,0.035173295,-0.082444888,0.102142798,0.080332114,-0.021810684
336,0.137113355,0.030960211,-0.106153144,0.105792656,0.079764005,-0.026028651
337,0.130474937,0.030649583,-0.099825354,0.106009395,0.082189572,-0.023819823
338,0.129641736,0.032149395,-0.097492341,0.105766905,0.081873928,-0.023892977
339,0.129083788,0.028983573,-0.100100216,0.104333028,0.080024219,-0.024308810
340,0.128048740,0.023635488,-0.104413252,0.104166303,0.078908544,-0.025257759
341,0.131011547,0.035496269,-0.095515278,0.108481846,0.082590935,-0.025890911
342,0.125537739,0.027246576,-0.098291164,0.105755418,0.080055920,-0.025699498
343,0.135478092,0.029879605,-0.105598487,0.105868344,0.079558570,-0.026309774
344,0.051337461,0.029850527,-0.021486934,0.090396088,0.079184811,-0.011211277
345,0.050827924,0.036308918,-0.014519006,0.090358950,0.080153734,-0.010205216
346,0.048214453,0.033188993,-0.015025459,0.087305090,0.077679869,-0.009625222
347,0.050751927,0.033200124,-0.017551802,0.088193820,0.080451454,-0.007742366
348,0.047454224,0.033565922,-0.013888302,0.088180614,0.080072127,-0.008108488
349,0.054487323,0.034703813,-0.019783510,0.087748888,0.079296137,-0.008452751
350,0.053329037,0.036179118,-0.017149919,0.087256750,0.078670231,-0.008586519
351,0.045037381,0.046129030,0.001091649,0.085855445,0.085808335,-0.000047109
352,0.044265430,0.047930816,0.003665386,0.084286485,0.084840440,0.000553955
353,0.053362385,0.056491863,0.003129478,0.084707173,0.085783270,0.001076097
354,0.052358582,0.052641866,0.000283285,0.085154891,0.086063070,0.000908179
355,0.046136284,0.044742140,-0.001394144,0.082291054,0.082915500,0.000624446
356,0.051329409,0.048073379,-0.003256030,0.082970300,0.082183433,-0.000786867
357,0.049435402,0.050311644,0.000876242,0.082043245,0.082573483,0.000530238
358,0.043958681,0.046435978,0.002477297,0.080428817,0.079065027,-0.001363790
359,0.054856303,0.052493931,-0.002362372,0.080250386,0.078770098,-0.001480287
360,0.056057050,0.049950495,-0.006106555,0.079265850,0.077820932,-0.001444917
361,0.044677033,0.045711431,0.001034398,0.076682113,0.076942045,0.000259932
362,0.049401189,0.047118966,-0.002282224,0.079009661,0.076684949,-0.002324712
363,0.060147769,0.060674878,0.000527109,0.075854141,0.076831158,0.000977017
364,0.046299100,0.043644651,-0.002654449,0.072614265,0.073542087,0.000927822
365,0.050266862,0.042783947,-0.007482915,0.074543682,0.071824004,-0.002719678
366,0.077360020,0.065837876,-0.011522144,0.072029034,0.067071830,-0.004957204
367,0.053950992,0.060334135,0.006383143,0.068201759,0.065462699,-0.002739060
368,0.050542048,0.042837023,-0.007705025,0.070609338,0.068083883,-0.002525455
369,0.052233100,0.048134001,-0.004099099,0.070175238,0.070809397,0.000634158
370,0.053374393,0.048446911,-0.004927482,0.071205619,0.070645418,-0.000560201
371,0.044630393,0.040703359,-0.003927034,0.068553750,0.068643611,0.000089862
372,0.044666712,0.039993383,-0.004673328,0.069231494,0.068040199,-0.001191295
373,0.048352358,0.045449196,-0.002903162,0.071222158,0.069836307,-0.001385850
374,0.047243743,0.043197356,-0.004046386,0.072279828,0.069947677,-0.002332151
375,0.042943970,0.043757153,0.000813183,0.067879720,0.066049213,-0.001830507
376,0.052988900,0.050478235,-0.002510665,0.070733245,0.068089881,-0.002643363
377,0.048698399,0.046140043,-0.002558356,0.072918523,0.071842668,-0.001075855
378,0.043258374,0.040660248,-0.002598126,0.068792529,0.067522627,-0.001269902
379,0.049448138,0.047414172,-0.002033966,0.067760528,0.062116098,-0.005644430
380,0.048422919,0.039063261,-0.009359658,0.068872257,0.065382894,-0.003489363
381,0.045706833,0.040695248,-0.005011585,0.065392451,0.063700969,-0.001691481
382,0.042362661,0.039093095,-0.003269566,0.062272915,0.062267928,-0.000004987
383,0.045197868,0.049391897,0.004194029,0.061435447,0.058656466,-0.002778980
384,0.049925442,0.039799594,-0.010125848,0.062510441,0.060282388,-0.002228053
385,0.045866430,0.049878132,0.004011702,0.059869954,0.055702157,-0.004167797
386,0.074068446,0.054706931,-0.019361515,0.057238344,0.056491183,-0.000747161
387,0.051242483,0.046122881,-0.005119601,0.060405355,0.056179227,-0.004226128
388,0.041315414,0.040446516,-0.000868898,0.063402287,0.058638926,-0.004763361
389,0.060437419,0.059995263,-0.000442157,0.059344318,0.055615898,-0.003728420
390,0.053956992,0.046191385,-0.007765607,0.057637085,0.054162139,-0.003474946
391,0.043269566,0.041267358,-0.002002208,0.061588100,0.057986796,-0.003601304
392,0.039599728,0.041497480,0.001897752,0.064699824,0.062067280,-0.002632544
393,0.043867140,0.047560291,0.003693151,0.057260152,0.053646797,-0.003613354
394,0.041470190,0.048619664,0.007149474,0.059358394,0.054685082,-0.004673312
395,0.035618993,0.039445846,0.003826853,0.061957421,0.057680967,-0.004276454
396,0.041433828,0.041041890,-0.000391938,0.066119611,0.058912445,-0.007207166
397,0.039107303,0.045463059,0.006355756,0.062666162,0.057063164,-0.005602998
398,0.038853852,0.042052879,0.003199027,0.063426479,0.057755646,-0.005670833
399,0.040390462,0.046271257,0.005880796,0.060732098,0.055541957,-0.005190141
400,0.053552389,0.061249408,0.007697019,0.059284658,0.053851336,-0.005433321
