case,run_dir,matched_poses,coverage,se3_ate_rmse_m,sim3_ate_rmse_m,sim3_scale,rpet_rmse_m,rper_rmse_deg,origin_ate_rmse_m
v9_pose1,/home/lj/dynamic-slam-public/runs/wrpy_hybrid_frontend_d2ma_20260515_173605/D_filtered_rgb_depth_plus_v9_pose1_r1,906,0.2958850424559112,0.20482686964522398,0.11603301389390526,0.454860836631174,0.02250538723089163,0.5378270232534224,0.2834678105839489
v12_probation_r1,/home/lj/dynamic-slam-public/runs/recovery_v12_probation_20260515_201522/wrpy_v12_probation_r1,906,0.2958850424559112,0.1984189983226139,0.1096135507343323,0.4686727768738539,0.024773102804089536,0.5662542408490001,0.27791718781656
v13_default_r1,/home/lj/dynamic-slam-public/runs/recovery_v13_pose_chain_guard_20260515_204440/wrpy_v13_pose_chain_guard_r1,906,0.2958850424559112,0.21986280655842244,0.12363706158273775,0.42469734887020316,0.020169686193280394,0.5113384131781101,0.2859279053059239
v13_min3_r1,/home/lj/dynamic-slam-public/runs/recovery_v13_pose_chain_guard_20260515_204440/wrpy_v13_pose_chain_guard_min3_r1,906,0.2958850424559112,0.19707100962360394,0.11554114869067617,0.469415251252629,0.02083202057941208,0.5096669787707153,0.27180421861764503
v13_min3_r2,/home/lj/dynamic-slam-public/runs/recovery_v13_pose_chain_guard_20260515_204440/wrpy_v13_pose_chain_guard_min3_r2,906,0.2958850424559112,0.19707100962360394,0.11554114869067617,0.469415251252629,0.02083202057941208,0.5096669787707153,0.27180421861764503
