case,method,dataset_id,n,protocol_valid_all,matched_poses_mean,matched_poses_std,matched_poses_min,matched_poses_max,coverage_mean,coverage_std,coverage_min,coverage_max,ate_se3_rmse_m_mean,ate_se3_rmse_m_std,ate_se3_rmse_m_min,ate_se3_rmse_m_max,ate_sim3_rmse_m_mean,ate_sim3_rmse_m_std,ate_sim3_rmse_m_min,ate_sim3_rmse_m_max,sim3_scale_mean,sim3_scale_std,sim3_scale_min,sim3_scale_max,rpet_rmse_m_mean,rpet_rmse_m_std,rpet_rmse_m_min,rpet_rmse_m_max,rper_rmse_deg_mean,rper_rmse_deg_std,rper_rmse_deg_min,rper_rmse_deg_max,estimated_poses_mean,estimated_poses_std,estimated_poses_min,estimated_poses_max,ckf_direct_vetoed_candidates_mean,ckf_direct_vetoed_candidates_std,ckf_direct_vetoed_candidates_min,ckf_direct_vetoed_candidates_max,ckf_accepted_depth_candidates_mean,ckf_accepted_depth_candidates_std,ckf_accepted_depth_candidates_min,ckf_accepted_depth_candidates_max,ckf_boundary_skipped_new_candidates_mean,ckf_boundary_skipped_new_candidates_std,ckf_boundary_skipped_new_candidates_min,ckf_boundary_skipped_new_candidates_max,ckf_delayed_rejected_new_candidates_mean,ckf_delayed_rejected_new_candidates_std,ckf_delayed_rejected_new_candidates_min,ckf_delayed_rejected_new_candidates_max,ckf_support_promoted_new_candidates_mean,ckf_support_promoted_new_candidates_std,ckf_support_promoted_new_candidates_min,ckf_support_promoted_new_candidates_max,ckf_matched_skipped_nonboundary_new_candidates_mean,ckf_matched_skipped_nonboundary_new_candidates_std,ckf_matched_skipped_nonboundary_new_candidates_min,ckf_matched_skipped_nonboundary_new_candidates_max,ckf_matched_exact_skipped_new_candidates_mean,ckf_matched_exact_skipped_new_candidates_std,ckf_matched_exact_skipped_new_candidates_min,ckf_matched_exact_skipped_new_candidates_max,ckf_matched_fallback_skipped_new_candidates_mean,ckf_matched_fallback_skipped_new_candidates_std,ckf_matched_fallback_skipped_new_candidates_min,ckf_matched_fallback_skipped_new_candidates_max,lm_skipped_instance_pairs_mean,lm_skipped_instance_pairs_std,lm_skipped_instance_pairs_min,lm_skipped_instance_pairs_max,lm_skipped_boundary_pairs_mean,lm_skipped_boundary_pairs_std,lm_skipped_boundary_pairs_min,lm_skipped_boundary_pairs_max,lm_delayed_rejected_boundary_pairs_mean,lm_delayed_rejected_boundary_pairs_std,lm_delayed_rejected_boundary_pairs_min,lm_delayed_rejected_boundary_pairs_max,lm_support_promoted_boundary_pairs_mean,lm_support_promoted_boundary_pairs_std,lm_support_promoted_boundary_pairs_min,lm_support_promoted_boundary_pairs_max,lm_matched_skipped_nonboundary_pairs_mean,lm_matched_skipped_nonboundary_pairs_std,lm_matched_skipped_nonboundary_pairs_min,lm_matched_skipped_nonboundary_pairs_max,lm_matched_exact_skipped_pairs_mean,lm_matched_exact_skipped_pairs_std,lm_matched_exact_skipped_pairs_min,lm_matched_exact_skipped_pairs_max,lm_matched_fallback_skipped_pairs_mean,lm_matched_fallback_skipped_pairs_std,lm_matched_fallback_skipped_pairs_min,lm_matched_fallback_skipped_pairs_max,camera_sha16_unique
wrpy_lifecycle_v9_precision,d2ma_lifecycle_v9_precision,external_wrpy_rawrgb_rawdepth_mask,2,1,906.0,0.0,906.0,906.0,0.2958850424559112,0.0,0.2958850424559112,0.2958850424559112,0.28580332574848577,0.0,0.28580332574848577,0.28580332574848577,0.12470074561026742,0.0,0.12470074561026742,0.12470074561026742,0.34126145181864104,0.0,0.34126145181864104,0.34126145181864104,0.03315431301581476,0.0,0.03315431301581476,0.03315431301581476,0.7580532213285922,0.0,0.7580532213285922,0.7580532213285922,909.0,0.0,909.0,909.0,101940.0,0.0,101940.0,101940.0,267421.0,0.0,267421.0,267421.0,7920.0,0.0,7920.0,7920.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4838.0,0.0,4838.0,4838.0,490.0,0.0,490.0,490.0,490.0,0.0,490.0,490.0,51.0,0.0,51.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145962acaf63b7c3
wxyz_lifecycle_v9_precision,d2ma_lifecycle_v9_precision,ablation_ei_A_raw_rgb_raw_depth_wxyz,2,1,857.0,0.0,857.0,857.0,0.29715672676837723,0.0,0.29715672676837723,0.29715672676837723,0.01697467696221212,0.0,0.01697467696221212,0.01697467696221212,0.015438902060590875,0.0,0.015438902060590875,0.015438902060590875,0.9770446169242201,0.0,0.9770446169242201,0.9770446169242201,0.01202941117943906,0.0,0.01202941117943906,0.01202941117943906,0.3784427585115359,0.0,0.3784427585115359,0.3784427585115359,859.0,0.0,859.0,859.0,67940.0,0.0,67940.0,67940.0,158037.0,0.0,158037.0,158037.0,6441.0,0.0,6441.0,6441.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2889.0,0.0,2889.0,2889.0,441.0,0.0,441.0,441.0,441.0,0.0,441.0,441.0,48.0,0.0,48.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f489b4871e5bb1fe
