match_index,baseline_se3_error_m,probe_se3_error_m,se3_delta_probe_minus_baseline_m,baseline_sim3_error_m,probe_sim3_error_m,sim3_delta_probe_minus_baseline_m
79,0.148789441,0.170263662,0.021474221,0.352437192,0.347913233,-0.004523959
80,0.162332234,0.182074797,0.019742563,0.352304474,0.348880827,-0.003423647
81,0.166262084,0.182487774,0.016225690,0.348014647,0.342767568,-0.005247079
82,0.159051925,0.179891154,0.020839229,0.339669700,0.337020169,-0.002649531
83,0.159750563,0.176770647,0.017020084,0.334655433,0.331090622,-0.003564812
84,0.155983786,0.175813478,0.019829693,0.324056021,0.321855973,-0.002200047
85,0.156398818,0.176540415,0.020141597,0.317301349,0.315668096,-0.001633253
86,0.148627656,0.166591821,0.017964165,0.309174652,0.307330337,-0.001844315
87,0.147398094,0.160229282,0.012831188,0.299164926,0.296153201,-0.003011725
88,0.157995832,0.170781635,0.012785803,0.294661049,0.292590339,-0.002070710
89,0.161131686,0.175241887,0.014110200,0.283735150,0.283727084,-0.000008066
90,0.151025956,0.165200621,0.014174665,0.274786166,0.274702592,-0.000083574
91,0.153176301,0.168989623,0.015813322,0.267872241,0.269366307,0.001494065
92,0.154829446,0.166680355,0.011850909,0.257164643,0.257876463,0.000711820
93,0.148184505,0.158535559,0.010351054,0.248769348,0.249349438,0.000580090
94,0.149775995,0.161506196,0.011730201,0.242524050,0.242948838,0.000424788
95,0.150966107,0.164676664,0.013710557,0.232375882,0.234181009,0.001805128
96,0.136361987,0.149702140,0.013340153,0.224418948,0.226316094,0.001897146
97,0.138219819,0.148819967,0.010600148,0.214839737,0.217463088,0.002623351
98,0.140289056,0.150633075,0.010344019,0.206877540,0.209731601,0.002854061
99,0.139558545,0.149423838,0.009865293,0.200617454,0.203826430,0.003208977
100,0.136046167,0.146321388,0.010275221,0.195244138,0.197508024,0.002263886
101,0.132034577,0.141088898,0.009054320,0.185742784,0.188063883,0.002321099
102,0.124095642,0.131487019,0.007391377,0.177802869,0.179873478,0.002070609
103,0.116633166,0.125193891,0.008560725,0.170245452,0.172736978,0.002491526
104,0.107118755,0.111381903,0.004263148,0.159649895,0.161092269,0.001442374
105,0.098083628,0.100132804,0.002049177,0.152329867,0.152992296,0.000662429
106,0.073091051,0.078717532,0.005626482,0.130911509,0.132899603,0.001988094
107,0.060306721,0.059905822,-0.000400899,0.122409257,0.120784009,-0.001625248
108,0.042997492,0.043268996,0.000271505,0.107943477,0.109231972,0.001288495
109,0.034337333,0.032316596,-0.002020737,0.100660286,0.101286655,0.000626369
110,0.025185455,0.023033029,-0.002152426,0.094665941,0.094639549,-0.000026392
111,0.015185444,0.012892586,-0.002292858,0.084645774,0.085943587,0.001297813
112,0.017650334,0.019553482,0.001903148,0.074823379,0.076150289,0.001326910
113,0.029515905,0.037189632,0.007673728,0.069160965,0.073271140,0.004110175
114,0.048757397,0.056144485,0.007387088,0.064562541,0.068629267,0.004066727
115,0.064314725,0.069258855,0.004944130,0.056001343,0.059202948,0.003201605
116,0.077300941,0.041906049,-0.035394892,0.048658295,0.052820717,0.004162422
117,0.094267012,0.101927612,0.007660600,0.033841586,0.036041568,0.002199982
118,0.113734289,0.111012688,-0.002721600,0.030066704,0.035148264,0.005081560
119,0.132787091,0.127828999,-0.004958092,0.023180660,0.032003869,0.008823209
120,0.153837235,0.143146334,-0.010690901,0.013389267,0.022982146,0.009592879
121,0.176869826,0.136800636,-0.040069189,0.009516552,0.012327929,0.002811377
122,0.205419960,0.160763277,-0.044656683,0.014042729,0.014129196,0.000086468
123,0.242179608,0.132142046,-0.110037562,0.020299908,0.019427606,-0.000872302
124,0.268892905,0.145594920,-0.123297985,0.024649270,0.014591030,-0.010058240
125,0.301762098,0.154242128,-0.147519970,0.029921339,0.016137204,-0.013784135
126,0.338355583,0.154682885,-0.183672699,0.040958442,0.022998915,-0.017959528
127,0.360752734,0.153814785,-0.206937949,0.046833900,0.030071452,-0.016762448
128,0.379318783,0.157045998,-0.222272786,0.056123379,0.037083273,-0.019040106
129,0.415904370,0.182826397,-0.233077973,0.063495990,0.035851016,-0.027644974
130,0.427709568,0.204313599,-0.223395970,0.054443727,0.040419765,-0.014023962
131,0.400480769,0.201795939,-0.198684830,0.055386595,0.048788065,-0.006598530
132,0.381234250,0.206360678,-0.174873572,0.047200066,0.049948749,0.002748683
133,0.395468267,0.219991574,-0.175476694,0.052493853,0.052463706,-0.000030147
134,0.393028703,0.220148170,-0.172880533,0.058244856,0.063635655,0.005390799
135,0.395849668,0.237586617,-0.158263051,0.062091759,0.067070540,0.004978781
136,0.400794165,0.249386049,-0.151408117,0.063700721,0.069435579,0.005734858
137,0.384383080,0.244389662,-0.139993417,0.069608852,0.078648474,0.009039621
138,0.466506996,0.247548637,-0.218958359,0.075679903,0.086687480,0.011007577
139,0.386822010,0.261839414,-0.124982596,0.080354635,0.088250912,0.007896278
140,0.381808419,0.252487534,-0.129320885,0.087624624,0.099428632,0.011804008
141,0.375766139,0.289260057,-0.086506083,0.085389048,0.087851445,0.002462398
142,0.413104712,0.300727489,-0.112377224,0.076981656,0.087989549,0.011007893
143,0.434479453,0.321847889,-0.112631565,0.083172734,0.091980288,0.008807554
144,0.448798776,0.319252680,-0.129546096,0.081194374,0.093821792,0.012627418
