match_index,baseline_se3_error_m,probe_se3_error_m,se3_delta_probe_minus_baseline_m,baseline_sim3_error_m,probe_sim3_error_m,sim3_delta_probe_minus_baseline_m
77,0.373950921,0.193471466,-0.180479455,0.493888528,0.360074378,-0.133814149
78,0.383313436,0.175139618,-0.208173817,0.492170464,0.352277531,-0.139892933
79,0.381811706,0.170263662,-0.211548044,0.487166585,0.347913233,-0.139253352
80,0.361927005,0.182074797,-0.179852208,0.480449910,0.348880827,-0.131569083
81,0.345092363,0.182487774,-0.162604589,0.470298305,0.342767568,-0.127530738
82,0.339254874,0.179891154,-0.159363720,0.462168479,0.337020169,-0.125148310
83,0.323443958,0.176770647,-0.146673311,0.452590883,0.331090622,-0.121500261
84,0.306663657,0.175813478,-0.130850178,0.438396624,0.321855973,-0.116540650
85,0.296812675,0.176540415,-0.120272260,0.427722977,0.315668096,-0.112054881
86,0.290760915,0.166591821,-0.124169094,0.417387019,0.307330337,-0.110056682
87,0.274216935,0.160229282,-0.113987653,0.402191286,0.296153201,-0.106038084
88,0.251849727,0.170781635,-0.081068092,0.389713072,0.292590339,-0.097122733
89,0.238144405,0.175241887,-0.062902518,0.373919069,0.283727084,-0.090191985
90,0.232753190,0.165200621,-0.067552569,0.362572024,0.274702592,-0.087869432
91,0.218304227,0.168989623,-0.049314604,0.349983583,0.269366307,-0.080617277
92,0.208950806,0.166680355,-0.042270451,0.333942847,0.257876463,-0.076066385
93,0.202105058,0.158535559,-0.043569499,0.322221839,0.249349438,-0.072872401
94,0.195672949,0.161506196,-0.034166753,0.308242909,0.242948838,-0.065294071
95,0.190757964,0.164676664,-0.026081300,0.291877246,0.234181009,-0.057696237
96,0.198945835,0.149702140,-0.049243696,0.285372941,0.226316094,-0.059056847
97,0.194466810,0.148819967,-0.045646844,0.269725298,0.217463088,-0.052262210
98,0.193929980,0.150633075,-0.043296905,0.255328849,0.209731601,-0.045597247
99,0.197061514,0.149423838,-0.047637677,0.245254534,0.203826430,-0.041428104
100,0.200395060,0.146321388,-0.054073672,0.235887206,0.197508024,-0.038379183
101,0.204183133,0.141088898,-0.063094235,0.222544135,0.188063883,-0.034480253
102,0.211737594,0.131487019,-0.080250575,0.212734773,0.179873478,-0.032861295
103,0.220352713,0.125193891,-0.095158822,0.202225331,0.172736978,-0.029488352
104,0.231013341,0.111381903,-0.119631438,0.188814741,0.161092269,-0.027722473
105,0.243939533,0.100132804,-0.143806729,0.178281981,0.152992296,-0.025289685
106,0.261058518,0.078717532,-0.182340986,0.155254215,0.132899603,-0.022354612
107,0.272453241,0.059905822,-0.212547420,0.146268468,0.120784009,-0.025484458
108,0.284935658,0.043268996,-0.241666662,0.133646000,0.109231972,-0.024414028
109,0.297400742,0.032316596,-0.265084146,0.124064791,0.101286655,-0.022778137
110,0.313849138,0.023033029,-0.290816108,0.113676861,0.094639549,-0.019037312
111,0.335124319,0.012892586,-0.322231732,0.103460832,0.085943587,-0.017517245
112,0.359684864,0.019553482,-0.340131382,0.088833436,0.076150289,-0.012683147
113,0.384607602,0.037189632,-0.347417969,0.077271124,0.073271140,-0.003999984
114,0.419097272,0.056144485,-0.362952787,0.065124054,0.068629267,0.003505213
115,0.450559786,0.069258855,-0.381300931,0.049660030,0.059202948,0.009542918
116,0.474888307,0.041906049,-0.432982258,0.039653790,0.052820717,0.013166927
117,0.501246441,0.101927612,-0.399318829,0.031029124,0.036041568,0.005012445
118,0.541117874,0.111012688,-0.430105185,0.027896644,0.035148264,0.007251620
119,0.571418435,0.127828999,-0.443589436,0.030902329,0.032003869,0.001101539
120,0.591910249,0.143146334,-0.448763916,0.039400224,0.022982146,-0.016418078
121,0.627745948,0.136800636,-0.490945312,0.047237795,0.012327929,-0.034909866
122,0.666168492,0.160763277,-0.505405215,0.056447983,0.014129196,-0.042318787
123,0.705724657,0.132142046,-0.573582610,0.069447580,0.019427606,-0.050019974
124,0.740766209,0.145594920,-0.595171289,0.078750675,0.014591030,-0.064159645
125,0.778052360,0.154242128,-0.623810232,0.090977313,0.016137204,-0.074840109
126,0.818113162,0.154682885,-0.663430277,0.100531493,0.022998915,-0.077532578
127,0.851076119,0.153814785,-0.697261334,0.109229191,0.030071452,-0.079157739
128,0.885077881,0.157045998,-0.728031883,0.121449890,0.037083273,-0.084366617
129,0.935037677,0.182826397,-0.752211280,0.131275287,0.035851016,-0.095424271
130,0.958187309,0.204313599,-0.753873710,0.139993851,0.040419765,-0.099574086
131,0.989469844,0.201795939,-0.787673905,0.151361265,0.048788065,-0.102573200
132,1.013641849,0.206360678,-0.807281171,0.161462037,0.049948749,-0.111513288
133,1.035224452,0.219991574,-0.815232879,0.170876750,0.052463706,-0.118413044
134,1.030253176,0.220148170,-0.810105007,0.184082004,0.063635655,-0.120446349
135,1.069399819,0.237586617,-0.831813202,0.192438133,0.067070540,-0.125367593
136,1.102052598,0.249386049,-0.852666550,0.200818049,0.069435579,-0.131382470
137,1.106781957,0.244389662,-0.862392295,0.213369836,0.078648474,-0.134721362
138,1.109786614,0.247548637,-0.862237978,0.223491447,0.086687480,-0.136803967
139,1.125296989,0.261839414,-0.863457574,0.230418084,0.088250912,-0.142167171
140,1.147127875,0.252487534,-0.894640342,0.239257232,0.099428632,-0.139828600
141,1.100211555,0.289260057,-0.810951498,0.248770029,0.087851445,-0.160918584
142,1.114430354,0.300727489,-0.813702866,0.251567625,0.087989549,-0.163578076
143,1.115643361,0.321847889,-0.793795473,0.254565855,0.091980288,-0.162585567
144,1.161307409,0.319252680,-0.842054729,0.254669625,0.093821792,-0.160847832
145,1.186653987,0.351281261,-0.835372726,0.254601863,0.085446172,-0.169155691
146,1.215180929,0.392066512,-0.823114417,0.253322979,0.090351515,-0.162971464
147,1.262952750,0.380294937,-0.882657813,0.250622240,0.089624710,-0.160997530
148,1.256331449,0.396024886,-0.860306563,0.249817285,0.090854396,-0.158962888
149,1.273815256,0.391231669,-0.882583586,0.248754033,0.095462198,-0.153291835
150,1.293757149,0.417536726,-0.876220422,0.247594903,0.093099015,-0.154495888
151,1.316044823,0.444568099,-0.871476724,0.246487164,0.096102587,-0.150384577
152,1.307093114,0.418309737,-0.888783377,0.247374211,0.097714418,-0.149659793
153,1.338238435,0.441239702,-0.896998733,0.245070267,0.098182907,-0.146887360
154,1.308472433,0.425658426,-0.882814007,0.251160745,0.094818001,-0.156342745
155,1.321446907,0.419187605,-0.902259301,0.250062728,0.095330835,-0.154731894
156,1.333006539,0.443280611,-0.889725928,0.250828636,0.097789856,-0.153038780
157,1.358104251,0.460681660,-0.897422590,0.249522736,0.100430975,-0.149091761
158,1.356423701,0.458587229,-0.897836472,0.250547472,0.107398469,-0.143149003
159,1.364992453,0.467120843,-0.897871610,0.251691496,0.104923109,-0.146768387
160,1.389079425,0.473691458,-0.915387967,0.250890986,0.107336211,-0.143554775
161,1.401061156,0.470626338,-0.930434819,0.250588522,0.108055319,-0.142533203
162,1.419171980,0.479883519,-0.939288461,0.250457838,0.105494395,-0.144963443
163,1.413963787,0.469139154,-0.944824634,0.251434819,0.108270260,-0.143164559
164,1.434621211,0.518502292,-0.916118920,0.249725346,0.116886289,-0.132839057
165,1.436087390,0.515094017,-0.920993373,0.251885099,0.116373984,-0.135511114
166,1.459470524,0.524641877,-0.934828647,0.250823333,0.117888536,-0.132934797
167,1.472503370,0.515022035,-0.957481336,0.250190701,0.122790129,-0.127400572
168,1.473012600,0.514775779,-0.958236821,0.252005652,0.120229756,-0.131775896
169,1.491854435,0.512032577,-0.979821857,0.251362878,0.121191513,-0.130171365
170,1.496393520,0.508591530,-0.987801990,0.251547288,0.121807622,-0.129739666
171,1.494724283,0.505846070,-0.988878213,0.252932867,0.117712703,-0.135220164
172,1.495243624,0.508205102,-0.987038522,0.253594101,0.118033347,-0.135560754
173,1.496905597,0.503562591,-0.993343005,0.253959624,0.115419005,-0.138540619
174,1.494576403,0.506166057,-0.988410346,0.254307156,0.116780790,-0.137526365
175,1.508022537,0.521437524,-0.986585012,0.253213368,0.114215027,-0.138998341
176,1.516438535,0.514626144,-1.001812390,0.251705108,0.118273212,-0.133431896
177,1.507929424,0.508920820,-0.999008604,0.251964187,0.118034931,-0.133929256
178,1.516557874,0.510258615,-1.006299259,0.250371545,0.116316259,-0.134055286
179,1.515772244,0.510848947,-1.004923297,0.249210235,0.118679532,-0.130530703
180,1.529439398,0.520151939,-1.009287459,0.245411634,0.120648128,-0.124763506
181,1.529782580,0.529388396,-1.000394184,0.243557641,0.118080164,-0.125477477
182,1.530711627,0.527728078,-1.002983549,0.240668289,0.116601770,-0.124066519
183,1.529434707,0.528496083,-1.000938624,0.236441305,0.117350136,-0.119091169
184,1.519446559,0.522092082,-0.997354477,0.233670799,0.117398909,-0.116271890
185,1.525885640,0.527597761,-0.998287878,0.230050479,0.115214983,-0.114835496
186,1.537630732,0.543657576,-0.993973156,0.224408728,0.111473735,-0.112934993
187,1.525642629,0.538588543,-0.987054086,0.222620928,0.111779038,-0.110841890
188,1.530527607,0.546573168,-0.983954439,0.217566907,0.108705813,-0.108861094
189,1.548159563,0.566281847,-0.981877716,0.210728284,0.105547358,-0.105180926
190,1.553827429,0.567528579,-0.986298850,0.207005124,0.107104309,-0.099900815
191,1.526622304,0.552061767,-0.974560537,0.202180432,0.113866336,-0.088314096
192,1.542361647,0.558569949,-0.983791698,0.194630256,0.104316875,-0.090313382
193,1.618088759,0.604097707,-1.013991052,0.183021575,0.101423470,-0.081598105
194,1.553250957,0.547648480,-1.005602477,0.183138486,0.095849300,-0.087289186
195,1.530222092,0.544416808,-0.985805284,0.177792372,0.101799248,-0.075993124
196,1.634643520,0.605163880,-1.029479640,0.163502194,0.111120005,-0.052382189
197,1.549929921,0.545381241,-1.004548681,0.163538238,0.104373333,-0.059164905
198,1.528117759,0.543536708,-0.984581050,0.158539179,0.105732897,-0.052806282
199,1.538182490,0.589199614,-0.948982876,0.151118571,0.115232644,-0.035885927
200,1.421196777,0.515414049,-0.905782728,0.156833852,0.098201609,-0.058632243
201,1.411606933,0.512766338,-0.898840595,0.150982245,0.096435492,-0.054546753
202,1.381373986,0.526579650,-0.854794336,0.145974030,0.092667660,-0.053306370
203,1.341260090,0.468187789,-0.873072300,0.145783952,0.071712992,-0.074070960
204,1.310191585,0.462286720,-0.847904865,0.144007877,0.072839200,-0.071168677
