segment,start,end,frames,risk_frames,risk_rate,support_low_frames,motion_pressure_frames,keyframe_pressure_frames,boundary_pressure_frames,created_keyframes,path_delta_m,mean_frame_step_m,max_frame_step_m,mean_step_ratio_proxy,max_step_ratio_proxy,mean_static_inlier_count,min_static_inlier_count,mean_static_inlier_grid_coverage,min_static_inlier_grid_coverage,mean_boundary_inlier_frac,max_boundary_inlier_frac,first_risk_frame,last_risk_frame
early,0,149,150,5,0.03333333333333333,65,10,147,5,91,2.086087,0.01390722,0.052439,1.21992716,4.431146,329.16,148.0,0.05628470666666667,0.025391,0.0906462,0.333333,6,48
target_early,150,299,150,0,0.0,97,8,150,0,124,2.4776210000000005,0.016903806666666667,0.060338,1.0305772066666667,3.352098,232.24,92.0,0.044118953333333336,0.019857,0.019073913333333335,0.075,-1,-1
mid,300,549,250,0,0.0,59,16,203,0,91,2.949625,0.0118642,0.058388,1.097037332,4.21958,353.52,117.0,0.063351564,0.023112,0.00454276,0.051136,-1,-1
target_late,550,599,50,0,0.0,31,7,50,0,29,1.3039310000000004,0.02637056,0.271716,2.21575244,19.311286,367.46,109.0,0.04813154,0.016602,0.02250902,0.098131,-1,-1
late,600,905,306,0,0.0,183,10,306,0,212,4.062037,0.0132894477124183,0.062164,0.9922566437908497,3.453537,268.55555555555554,111.0,0.05074400980392157,0.024414,0.02750746732026144,0.126437,-1,-1
