dataset,r1,r2,camera_hash_equal,keyframe_hash_equal,se3_equal,sim3_equal,scale_equal,camera_sha256,keyframe_timeline_sha256
wrpy,/home/lj/dynamic-slam-public/runs/lifecycle_v8_precision_20260515_154535/wrpy_lifecycle_v8_precision_r1,/home/lj/dynamic-slam-public/runs/lifecycle_v8_precision_20260515_154535/wrpy_lifecycle_v8_precision_r2,1,1,1,1,1,0d7ade1f810e97c1680e4fcfeddc38fef0f4403fa8edc3b046596f0f10dbdb9c,98001e89a177335224f676a0619c41ce2308b3b21fc64ebe1cb2305b76c6954b
wxyz,/home/lj/dynamic-slam-public/runs/lifecycle_v8_precision_20260515_154535/wxyz_lifecycle_v8_precision_r1,/home/lj/dynamic-slam-public/runs/lifecycle_v8_precision_20260515_154535/wxyz_lifecycle_v8_precision_r2,1,1,1,1,1,7bcb15d2851da765a166c7f69226406e181d73734aff78acd71aea91559949a6,648158d68a05322f46bd0b3359ca616da1249f723af00740caf11d6efb2731ff
