segment,match_start,match_end,count,gt_path_m,gt_chord_m,v17_fallback_r1_se3_rmse_m,v17_fallback_r1_sim3_rmse_m,v17_fallback_r1_global_sim3_scale,v17_fallback_r1_est_path_m,v17_fallback_r1_path_ratio,v17_fallback_r1_est_chord_m,v17_fallback_r1_chord_ratio,v17_fallback_r2_se3_rmse_m,v17_fallback_r2_sim3_rmse_m,v17_fallback_r2_global_sim3_scale,v17_fallback_r2_est_path_m,v17_fallback_r2_path_ratio,v17_fallback_r2_est_chord_m,v17_fallback_r2_chord_ratio
global,0,905,906,3.172324208,0.311993429,0.207055083,0.115205288,0.451318663,15.813751004,4.984910106,0.740166530,2.372378585,0.207055083,0.115205288,0.451318663,15.813751004,4.984910106,0.740166530,2.372378585
0-149,0,149,150,1.254208898,0.380905841,0.123761488,0.175615355,0.451318663,2.430053209,1.937518713,0.596501304,1.566007237,0.123761488,0.175615355,0.451318663,2.430053209,1.937518713,0.596501304,1.566007237
150-299,150,299,150,0.599033979,0.400691627,0.217376749,0.076605512,0.451318663,3.547264889,5.921642200,0.600559576,1.498807400,0.217376749,0.076605512,0.451318663,3.547264889,5.921642200,0.600559576,1.498807400
300-549,300,549,250,0.330581659,0.097217797,0.045873410,0.058039629,0.451318663,3.751348973,11.347722622,0.113841249,1.170991866,0.045873410,0.058039629,0.451318663,3.751348973,11.347722622,0.113841249,1.170991866
550-599,550,599,50,0.178867364,0.107808627,0.103177785,0.071531192,0.451318663,1.270730592,7.104317772,0.138718719,1.286712605,0.103177785,0.071531192,0.451318663,1.270730592,7.104317772,0.138718719,1.286712605
600-905,600,905,306,0.797773001,0.290439736,0.304637623,0.133091783,0.451318663,4.757267406,5.963184263,0.978506345,3.369051217,0.304637623,0.133091783,0.451318663,4.757267406,5.963184263,0.978506345,3.369051217
