segment,match_start,match_end,count,gt_path_m,gt_chord_m,v12_se3_rmse_m,v12_sim3_rmse_m,v12_global_sim3_scale,v12_est_path_m,v12_path_ratio,v12_est_chord_m,v12_chord_ratio,v16full_se3_rmse_m,v16full_sim3_rmse_m,v16full_global_sim3_scale,v16full_est_path_m,v16full_path_ratio,v16full_est_chord_m,v16full_chord_ratio,v17_both_se3_rmse_m,v17_both_sim3_rmse_m,v17_both_global_sim3_scale,v17_both_est_path_m,v17_both_path_ratio,v17_both_est_chord_m,v17_both_chord_ratio,v17_fallback_se3_rmse_m,v17_fallback_sim3_rmse_m,v17_fallback_global_sim3_scale,v17_fallback_est_path_m,v17_fallback_path_ratio,v17_fallback_est_chord_m,v17_fallback_chord_ratio,v17_keyframe_se3_rmse_m,v17_keyframe_sim3_rmse_m,v17_keyframe_global_sim3_scale,v17_keyframe_est_path_m,v17_keyframe_path_ratio,v17_keyframe_est_chord_m,v17_keyframe_chord_ratio
global,0,905,906,3.172324208,0.311993429,0.232164579,0.125501679,0.404131777,15.567030214,4.907137226,0.897417112,2.876397474,0.220875648,0.120381974,0.425467528,16.186569000,5.102432141,0.813092820,2.606121616,0.207021728,0.115927670,0.451040600,15.487987274,4.882220813,0.733918384,2.352352051,0.207055083,0.115205288,0.451318663,15.813751004,4.984910106,0.740166530,2.372378585,0.223791691,0.120098097,0.421145952,15.452636846,4.871077428,0.816595198,2.617347422
0-149,0,149,150,1.254208898,0.380905841,0.139352117,0.197475111,0.404131777,2.519780139,2.009059371,0.553163855,1.452232534,0.116698289,0.187002588,0.425467528,2.455114436,1.957500414,0.581203578,1.525845799,0.121666643,0.177216718,0.451040600,2.506592729,1.998544847,0.606546768,1.592379800,0.123761488,0.175615355,0.451318663,2.430053209,1.937518713,0.596501304,1.566007237,0.125631193,0.187726175,0.421145952,2.429858345,1.937363345,0.603223984,1.583656428
150-299,150,299,150,0.599033979,0.400691627,0.181080810,0.091200757,0.404131777,3.271453253,5.461214836,0.576533742,1.438846493,0.218472075,0.084305604,0.425467528,3.244185355,5.415695052,0.518049705,1.292888770,0.213296268,0.078453709,0.451040600,3.273834321,5.465189683,0.593945470,1.482300676,0.217376749,0.076605512,0.451318663,3.547264889,5.921642200,0.600559576,1.498807400,0.226076111,0.084350744,0.421145952,3.315431628,5.534630329,0.679335804,1.695408035
300-549,300,549,250,0.330581659,0.097217797,0.053376532,0.061746896,0.404131777,3.583858010,10.841067281,0.107555301,1.106333457,0.052905597,0.060693123,0.425467528,4.144609491,12.537324364,0.071244668,0.732835655,0.048230827,0.058759475,0.451040600,3.700719132,11.194568810,0.137728102,1.416696392,0.045873410,0.058039629,0.451318663,3.751348973,11.347722622,0.113841249,1.170991866,0.047941980,0.059610285,0.421145952,3.569259774,10.796908037,0.057254446,0.588929680
550-599,550,599,50,0.178867364,0.107808627,0.092586604,0.060763774,0.404131777,1.359410380,7.600102950,0.137278014,1.273349063,0.094446039,0.067198490,0.425467528,1.138238031,6.363586994,0.127935950,1.186694925,0.094857649,0.067201715,0.451040600,1.223943165,6.842741671,0.139539796,1.294328668,0.103177785,0.071531192,0.451318663,1.270730592,7.104317772,0.138718719,1.286712605,0.090138455,0.060771280,0.421145952,1.147458543,6.415136434,0.157307948,1.459140634
600-905,600,905,306,0.797773001,0.290439736,0.360924225,0.140438472,0.404131777,4.764661747,5.972452991,1.118337621,3.850497999,0.332607685,0.136138176,0.425467528,5.130403587,6.430906511,1.051323809,3.619765755,0.306536534,0.133490749,0.451040600,4.717395014,5.913204643,0.981160726,3.378190398,0.304637623,0.133091783,0.451318663,4.757267406,5.963184263,0.978506345,3.369051217,0.335093632,0.135777960,0.421145952,4.838681210,6.065235603,1.067123459,3.674164819
