segment,match_start,match_end,count,gt_path_m,gt_chord_m,v12_se3_rmse_m,v12_sim3_rmse_m,v12_global_sim3_scale,v12_est_path_m,v12_path_ratio,v12_est_chord_m,v12_chord_ratio,v13_se3_rmse_m,v13_sim3_rmse_m,v13_global_sim3_scale,v13_est_path_m,v13_path_ratio,v13_est_chord_m,v13_chord_ratio,v14log_se3_rmse_m,v14log_sim3_rmse_m,v14log_global_sim3_scale,v14log_est_path_m,v14log_path_ratio,v14log_est_chord_m,v14log_chord_ratio
global,0,905,906,3.172324208,0.311993429,0.181874438,0.107876391,0.501280295,21.612024122,6.812678246,0.678727938,2.175455871,0.165779045,0.101191521,0.536269400,19.785974198,6.237059298,0.584831844,1.874500516,0.176444757,0.113789196,0.514064886,19.803619049,6.242621419,0.696121367,2.231205217
0-149,0,149,150,1.254208898,0.380905841,0.102492328,0.166269389,0.501280295,3.047190719,2.429571919,0.510787070,1.340979880,0.089303587,0.153809305,0.536269400,2.981502935,2.377198042,0.508533672,1.335063990,0.109256372,0.171901233,0.514064886,2.687860448,2.143072381,0.456710754,1.199012209
150-299,150,299,150,0.599033979,0.400691627,0.215109473,0.064487490,0.501280295,5.667293759,9.460721693,0.656726315,1.638981877,0.205617917,0.060389349,0.536269400,4.690880186,7.830741412,0.596951108,1.489801802,0.159904773,0.084580231,0.514064886,5.022537300,8.384394670,0.415159182,1.036106457
300-549,300,549,250,0.330581659,0.097217797,0.073190507,0.064460813,0.501280295,5.797331166,17.536759841,0.115641089,1.189505342,0.036038232,0.047762274,0.536269400,4.856780532,14.691621258,0.157285865,1.617871116,0.046269996,0.055262782,0.514064886,4.939254898,14.941103838,0.062837624,0.646359270
550-599,550,599,50,0.178867364,0.107808627,0.077530088,0.066388187,0.501280295,1.159949431,6.484969679,0.144456944,1.339938633,0.056539368,0.044643208,0.536269400,1.196694212,6.690400001,0.126562671,1.173956809,0.084966274,0.065768319,0.514064886,1.225076776,6.849079392,0.115164026,1.068226448
600-799,600,799,200,0.356628373,0.047964258,0.068566284,0.068924254,0.501280295,3.533822122,9.908976384,0.081718052,1.703728071,0.070909694,0.062356185,0.536269400,3.712257914,10.409317371,0.079615422,1.659890630,0.084047018,0.067175087,0.514064886,3.735151584,10.473512122,0.090257593,1.881767755
800-905,800,905,106,0.440284396,0.303541117,0.421949766,0.183352092,0.501280295,2.006074414,4.556315037,0.888327954,2.926548999,0.386945947,0.187685638,0.536269400,2.220328955,5.042942642,0.814466329,2.683215820,0.437308751,0.202415314,0.514064886,2.118430721,4.811505337,0.920134187,3.031332936
