segment,frames,frame_start,frame_end,se3_rmse_m,sim3_rmse_m,est_path_m,gt_path_m,path_ratio,keyframes,keyframe_rate,support_low_frames,motion_pressure_frames,keyframe_pressure_frames,boundary_pressure_frames,strict_risk_frames,relaxed_risk_frames,step_spike_frames,mean_static_inliers,min_static_inliers,mean_grid_coverage,min_grid_coverage,mean_step_ratio_proxy,max_step_ratio_proxy,mean_boundary_frac,max_boundary_frac
0-149,147,3,149,0.109360320,0.172753680,2.644198490,1.244981257,2.123886184,48,0.326530612,93,28,125,43,37,82,28,270.795918367,116.000000000,0.046746551,0.019531000,1.368514034,7.666573000,0.190155048,0.471014000
150-299,150,150,299,0.160435760,0.085756348,5.000146211,0.601392462,8.314281488,95,0.633333333,66,21,150,0,0,78,21,293.946666667,111.000000000,0.054214420,0.026367000,1.237667113,11.317682000,0.056712920,0.201365000
300-549,250,300,549,0.045978423,0.055581598,4.983115664,0.337834147,14.750183501,58,0.232000000,9,31,155,0,0,26,31,419.184000000,235.000000000,0.073023440,0.046224000,1.139426772,4.413998000,0.015880668,0.209375000
550-599,50,550,599,0.083946291,0.065460819,1.292219034,0.177237945,7.290871215,22,0.440000000,33,13,50,0,0,36,13,356.780000000,113.000000000,0.046263000,0.014648000,1.977870860,11.624091000,0.080220780,0.194737000
600-799,200,600,799,0.084090756,0.067224565,3.738594731,0.367134473,10.183175383,83,0.415000000,5,25,155,6,2,19,25,357.920000000,244.000000000,0.066333000,0.043294000,1.143657465,3.469209000,0.089407960,0.323171000
800-908,109,800,908,0.431470195,0.199777210,2.145344919,0.443743924,4.834646294,49,0.449541284,12,14,101,7,4,22,14,372.027522936,185.000000000,0.070321459,0.035482000,1.152855560,4.356671000,0.075305743,0.396930000
