case,n,all_protocol_valid,matched_poses_mean,matched_poses_std,matched_poses_median,matched_poses_min,matched_poses_max,coverage_mean,coverage_std,coverage_median,coverage_min,coverage_max,ate_se3_rmse_m_mean,ate_se3_rmse_m_std,ate_se3_rmse_m_median,ate_se3_rmse_m_min,ate_se3_rmse_m_max,ate_sim3_rmse_m_mean,ate_sim3_rmse_m_std,ate_sim3_rmse_m_median,ate_sim3_rmse_m_min,ate_sim3_rmse_m_max,sim3_scale_mean,sim3_scale_std,sim3_scale_median,sim3_scale_min,sim3_scale_max,rpet_rmse_m_mean,rpet_rmse_m_std,rpet_rmse_m_median,rpet_rmse_m_min,rpet_rmse_m_max,rper_rmse_deg_mean,rper_rmse_deg_std,rper_rmse_deg_median,rper_rmse_deg_min,rper_rmse_deg_max,estimated_poses_mean,estimated_poses_std,estimated_poses_median,estimated_poses_min,estimated_poses_max
whalfsphere_d2ma_b_r5,3,1,1064.0,0.0,1064.0,1064.0,1064.0,0.29704075935231716,0.0,0.29704075935231716,0.29704075935231716,0.29704075935231716,0.15609311235748924,0.0,0.15609311235748924,0.15609311235748924,0.15609311235748924,0.11884398598286396,0.0,0.11884398598286396,0.11884398598286396,0.11884398598286396,0.823257551203868,0.0,0.823257551203868,0.823257551203868,0.823257551203868,0.016220400138605894,0.0,0.016220400138605894,0.016220400138605894,0.016220400138605894,0.48440217992782175,0.0,0.48440217992782175,0.48440217992782175,0.48440217992782175,1067.0,0.0,1067.0,1067.0,1067.0
wrpy_d2ma_b_r5,3,1,906.0,0.0,906.0,906.0,906.0,0.2958850424559112,0.0,0.2958850424559112,0.2958850424559112,0.2958850424559112,0.2699994375074346,0.0,0.2699994375074346,0.2699994375074346,0.2699994375074346,0.12072192570782232,0.0,0.12072192570782232,0.12072192570782232,0.12072192570782232,0.361678485496571,0.0,0.361678485496571,0.361678485496571,0.361678485496571,0.0261731926584138,0.0,0.0261731926584138,0.0261731926584138,0.0261731926584138,0.6060053888883153,0.0,0.6060053888883153,0.6060053888883153,0.6060053888883153,909.0,0.0,909.0,909.0,909.0
wrpy_samecount_nonboundary_r5,3,1,906.0,0.0,906.0,906.0,906.0,0.2958850424559112,0.0,0.2958850424559112,0.2958850424559112,0.2958850424559112,0.6044245531259185,0.0,0.6044245531259185,0.6044245531259185,0.6044245531259185,0.15630568296415367,0.0,0.15630568296415367,0.15630568296415367,0.15630568296415367,0.13888401256218397,0.0,0.13888401256218397,0.13888401256218397,0.13888401256218397,0.025395075791235254,0.0,0.025395075791235254,0.025395075791235254,0.025395075791235254,0.5930529011934527,0.0,0.5930529011934527,0.5930529011934527,0.5930529011934527,909.0,0.0,909.0,909.0,909.0
wxyz_d2ma_b_r5,3,1,857.0,0.0,857.0,857.0,857.0,0.29715672676837723,0.0,0.29715672676837723,0.29715672676837723,0.29715672676837723,0.017884008050644086,0.0,0.017884008050644086,0.017884008050644086,0.017884008050644086,0.01604339384335689,0.0,0.01604339384335689,0.01604339384335689,0.01604339384335689,0.9743573069394601,0.0,0.9743573069394601,0.9743573069394601,0.9743573069394601,0.011772420044305934,0.0,0.011772420044305934,0.011772420044305934,0.011772420044305934,0.37544396156156334,0.0,0.37544396156156334,0.37544396156156334,0.37544396156156334,859.0,0.0,859.0,859.0,859.0
